rank	username	minecraft:crafted/minecraft:netherite_sword
1	Ryan_GEMS	9
2	Hyp3rion_	6
3	SammiWolfGirl	5
4	pintsizedrogue	4
5	500am	3
5	HellsSponge	3
5	mihimihimihi	3
5	Spenduh	3
9	Apollo_993	2
9	SmashingPump	2
9	EMC_	2
9	RebelAndroid	2
9	ITDV	2
9	joethahobo	2
9	Nicky_H225	2
9	lorpus	2
9	Awyrlas	2
9	noam464	2
9	Hiryu27	2
9	ogoa	2
9	FreakGenius	2
9	LazySupport00	2
9	_Mythic____	2
9	obzii	2
9	MilleGrug	2
9	Ezekson	2
9	00000000-0000-0000-0009-01ff0c3e5e4f	2
28	NatalieTW	1
28	JohnnyFyes	1
28	CLG_Kata	1
28	_Huge_Male_	1
28	ganyuganyu	1
28	RoskobiOne	1
28	CloroxBleach385	1
28	BPTY4618	1
28	PazinGaming	1
28	AuroraValkyrie	1
28	Yatitay	1
28	6king6colt6	1
28	Sleek_Storm_721	1
28	chimpmunker	1
28	bigstankyy	1
28	gren_ben	1
28	hm947	1
28	_Razaria	1
28	tuckerdoodle	1
28	Wooptey	1
28	Ryker	1
28	SyntheticSurgeon	1
28	Alteriity	1
28	ZaneABrain	1
28	NinjaKnifeKill	1
28	YairZaki	1
28	Da_Boss_Rani	1
28	rarrq	1
28	NieToksikpl	1
28	TheSecondLord	1
28	jacxhadow	1
28	Chickenchaser2	1
28	mattybeewrapss	1
28	bloodbiter	1
28	Jakobo1337	1
28	MinttyFressh	1
28	Megarboh	1
28	Secret_Canary	1
28	_lildarki3	1
28	Fullut	1
28	excelsionprime	1
28	Kkanot	1
28	set67	1
28	4774	1
28	Flapjacker687	1
28	Trixididntdie	1
28	Eraza	1
28	Inchef	1
28	Xalithia	1
28	ROY4LE	1
28	__TheNorseMan__	1
28	Covalents	1
28	Touched_Bread	1
28	ARandomHedge	1
28	CharlieButt	1
28	mimbo1211	1
28	funnyblitz123	1
28	TheDankPlatypus	1
28	Mobstr	1
28	prizm_	1
28	shadowthemonkey	1
28	ReverendSmith	1
28	Winklepicker279	1
28	CollinMH06	1
28	Marbz_	1
28	Jackattack53	1
28	SuperPooch06	1
28	Chromary	1
28	thewindmillman	1
28	King_Pancake1	1
28	JitteryJared2	1
28	Eczbox	1
28	pappaberg	1
28	Rocco_Lane	1
28	BronkerBrum	1
28	Rebytre	1
28	oscminus	1
28	HAIRYCLOUD626	1
28	CowOfTheNile	1
28	ApophisNova	1
28	Afinnity	1
28	KartivGal	1
28	Mattesco	1
28	PigDab	1
28	LeGold	1
28	AlexxO_o	1
28	Jonte0599	1
28	SvenskaAlvar	1
28	spellmre	1
28	PuFY	1
28	Dan_Scha	1
28	Hail_the_wombat	1
28	Luminad3	1
28	fw3xy74	1
28	AuroraSkies	1
28	ReSynced	1
28	LeonelSalamanca	1
28	Gab4101	1
28	EveryonesUncle	1
28	luseis	1
28	Deodorante	1
28	Lutres_	1
28	DarkS0L	1
28	Manaateee	1
28	Fuad_R	1
28	_Karmaa	1
28	RoBe__	1
28	NameGenerat0r	1
28	DanTheBuilderino	1
28	Quaintster	1
28	MAns_44	1
28	EfficientC52	1
28	Not_Insom	1
28	Nycteus_	1
28	censorsheep	1
28	Steve897	1
28	MightyWertu	1
28	Racengan	1
28	SingedBread	1
28	ProfessorDiaper	1
28	SkateboardR6	1
28	Arlosaurus	1
28	Yahir091	1
28	Druid95	1
28	iSammael	1
28	ItsDeltaMC	1
28	sp00ky_ghost977	1
28	Ze_BaronKrigler	1
28	Kura2218	1
28	Strangemonkey71	1
28	TheEnderMan548	1
28	IdeallyGrey	1
28	pixelviolin	1
28	Kowcio_	1
28	Segotep999	1
28	djancak	1
28	starbits140	1
28	brofrickcheaters	1
28	LeEricc	1
28	Heisenbberrg	1
28	PortlyPete69	1
28	_Yonk_	1
28	_i_ERROR_i_	1
28	MNMann44	1
28	fffMike	1
28	jcool7	1
28	Njensen7	1
28	ZeroKraken	1
28	Eczbek	1
28	Kubeusz2010	1
28	TheOuterCore	1
28	MissCeleste7	1
28	DiamondShaff	1
28	EcksD	1
28	smogfrog	1
28	MyNamaSheff	1
28	Nicserso	1
28	FelixPSY375	1
28	AltnumberF4	1
28	Enderxz3	1
28	HesDemonPants	1
28	MirielThePastor	1
28	Jimb0nat0r	1
28	skrongus	1
28	Earlesstrain4	1
28	Biites	1
