rank	username	minecraft:crafted/minecraft:light_gray_concrete_powder
1	joethahobo	52464
2	Hyp3rion_	50408
3	Jackattack53	28336
4	noam464	20744
5	lordpipe	15040
6	hanaryheatwave	11120
7	Groundler	8216
8	Di_infiri	6656
9	SkateboardR6	3480
10	RobotMinion101	2912
11	Winklepicker279	2752
12	BumbleBeever	2176
13	Mattesco	2168
14	titanlax	2144
15	Steelynan	2048
16	thescout7	1936
17	beeperbeeper5	1832
18	Blu3beast	1800
19	lillips	1792
20	EveryonesUncle	1720
21	mihimihimihi	1624
22	Inchef	1536
22	thebaddruid	1536
22	Sral7	1536
25	Manaateee	1440
26	CoffeeNoir	1416
27	Incinere	1312
28	Onennon	1280
29	shadowthemonkey	1152
30	The_slideV3	1144
31	Kakolbus	1096
32	Blaiku	1024
33	TheSecondLord	976
33	Rumpletaezer	976
35	NameGenerat0r	928
36	PlasticOtari	776
37	ImpavidArcher	704
38	__tomato	680
39	Cryptacity	672
40	PhantomsGhost_	640
40	Swexti	640
40	iSammael	640
43	TheShyPig	608
44	kekhon	576
44	YungMaki	576
44	ConnorDanky_	576
47	Ezekson	568
48	Blackberry1310	520
48	Winston_Ingram	520
50	Lez_	512
50	Comma__	512
50	drunkeeez	512
50	Hoid_the_Roamer	512
50	MousePlays	512
50	Elastiq	512
50	Nicserso	512
57	xxPipperDipperxx	496
58	thewindmillman	464
59	500am	392
60	PazinGaming	384
61	surfinggiraffejp	344
62	Biites	304
63	ExtraDumb	256
64	M_Patata	248
64	MasterNueve	248
64	LordSpeed37	248
67	ROY4LE	240
68	RoskobiOne	232
68	AJplaysMC_	232
70	Spacewardharpy7	216
71	_Huge_Male_	192
72	pintsizedrogue	184
72	_Mythic____	184
74	Chromary	176
74	luseis	176
74	BlankityMcBlank	176
77	Xclax101	152
78	_Dri_	144
79	ItsGrayWolf	136
79	eitanzaki	136
79	Tyrannosplart	136
82	theonlymagikarp	128
82	Hiryu27	128
82	Rasmanden	128
82	Ze_BaronKrigler	128
82	non089	128
87	StinkyDiplomat	120
88	PortlyPete69	112
89	NotMeanttoChange	96
90	teslawolf38	80
90	remmisrat	80
92	_Karmaa	64
93	AdmiralSmoke	56
94	Deathkob	48
95	Merv__	40
95	The_SlideV5	40
97	Kowcio_	32
98	oscminus	16
98	claivin	16
98	Iamthejo	16
98	Jimb0nat0r	16
102	Da_Boss_Rani	8
102	SuperPooch06	8
102	LexMakesHistory	8
102	Dakar_	8
102	HellsSponge	8
102	sp00ky_ghost977	8
102	Enderxz3	8
102	JayToe	8
