rank	username	minecraft:crafted/minecraft:writable_book
1	beeperbeeper5	3342
2	Lez_	1602
3	SteveCraftBlocks	690
4	pintsizedrogue	612
5	Legendosh	338
6	Kowcio_	323
7	PlasticOtari	289
8	Awyrlas	273
9	lordpipe	231
10	Soplight	156
11	Lord_Jord	149
12	Hyp3rion_	144
13	Smoke____	134
14	500am	133
15	I_Am_Mushkin	123
16	joethahobo	112
17	FreakGenius	111
18	claivin	107
19	SammiWolfGirl	106
20	luseis	102
21	Frxnkz	100
22	Esme_1	97
22	Akoot_	97
22	Xclax101	97
22	Spacewardharpy7	97
26	EveryonesUncle	91
27	Merv__	89
28	TheShyPig	85
29	HellsSponge	83
30	Mahoose	78
31	SvenskaHugo	77
32	bloodbiter	75
32	_Dean_123	75
34	Hermanni__	72
35	kekhon	66
36	TheSecondLord	61
37	Bumpy419	60
38	hagridfedpik	55
39	Huwulling	53
40	Fullut	48
41	fluddd	47
42	FirsTimeGamingTV	46
43	Ezekson	40
44	Sleek_Storm_721	36
45	xxPipperDipperxx	35
46	12Magner05	34
46	Smashic	34
48	WyngGoy	33
49	Arceus1975	31
49	binman420	31
51	Alottaporn	30
51	thewindmillman	30
53	YungMaki	27
54	MissCeleste7	26
55	Eraxa	24
56	Powowowow	23
57	Blackberry1310	22
57	prizm_	22
59	Werbe	21
60	ConnorDanky_	20
61	Mattesco	19
62	Swexti	18
63	q_wq	17
63	EMC_	17
63	r123moore	17
66	Rich_Kat	16
66	Karetoko	16
66	SuperPooch06	16
66	MAns_44	16
66	Winston_Ingram	16
71	Frozil20	15
71	noam464	15
71	Jackattack53	15
71	SpouHn	15
75	MineMaster0012	13
75	UrbanPlanningEx	13
77	LexMakesHistory	12
78	King_Pancake1	11
78	mihimihimihi	11
80	SmashingPump	10
80	eitanzaki	10
80	zorin123	10
80	gcaisawesome	10
84	Groovy_MoonBird	9
84	ImNotYuqii	9
84	6king6colt6	9
84	jacxhadow	9
84	m_be9	9
84	Inchef	9
84	Fuad_R	9
84	MakeHistory157	9
84	IdeallyGrey	9
84	xzvu	9
84	TechnoNinja64	9
95	bigstankyy	8
95	FishyBoy3811	8
95	Hisiste	8
95	Dusk_95	8
95	lcvezra	8
95	Eczbek	8
95	Enderxz3	8
102	RoskobiOne	7
102	T045RTY	7
102	Tyrannosplart	7
102	Blaiku	7
102	jnp_gaming	7
107	Incinere	6
107	set67	6
107	lorpus	6
107	_Bguette_	6
107	Dreamdbr14	6
107	EcksD	6
113	SaintJosie	5
113	NomadicRobin_	5
113	RoofTyler	5
113	Jimb0nat0r	5
113	Sral7	5
113	bladeefan2009	5
119	Jovaphobic	4
119	ImpavidArcher	4
119	CoffeeNoir	4
119	jushykins	4
119	Snowflowe	4
119	ApophisNova	4
119	Smussa	4
119	Onennon	4
119	Deathkob	4
119	StinkyDiplomat	4
119	censorsheep	4
119	Groundler	4
119	CheifJumbo	4
