rank	username	minecraft:crafted/minecraft:oak_boat
1	2Stout	433
2	Werbe	408
3	Hyp3rion_	333
4	HellsSponge	238
5	AdmiralSmoke	199
6	beeperbeeper5	187
7	iSammael	158
8	Jackattack53	127
9	joethahobo	124
10	MousePlays	119
11	thescout7	114
12	_Dean_123	96
13	FreakGenius	85
14	Kubeusz2010	80
15	pintsizedrogue	79
16	EveryonesUncle	76
17	Legendosh	72
18	YungMaki	66
19	noam464	63
19	PlasticOtari	63
21	SmashingPump	62
22	ROY4LE	60
23	lordpipe	59
24	eitanzaki	56
25	BlankityMcBlank	53
26	500am	52
27	rarrq	48
28	Mahoose	45
28	Sral7	45
30	EcksD	42
31	EMC_	41
32	Kouridragon	35
33	LeonelSalamanca	34
34	Kowcio_	32
35	LILI_G_F_2007	31
36	Winklepicker279	30
37	Frozil20	28
37	Akoot_	28
39	ARandomHedge	26
40	Di_infiri	24
41	KarlKaek	22
41	Blackberry1310	22
41	Nicserso	22
44	Enderxz3	21
44	FishisTTV	21
46	oscminus	20
46	claivin	20
48	ougstur	19
48	Blu3beast	19
48	__tomato	19
51	thewindmillman	18
52	Groovy_MoonBird	17
52	Historical_Sand	17
52	slkiey	17
52	Skylord_Luke	17
52	ConnorDanky_	17
52	Zoeyfortnite	17
58	teslawolf38	16
58	_Nuf	16
58	Fullut	16
58	mwrty	16
58	Racengan	16
58	_3Stump_	16
64	T045RTY	15
64	himak1	15
64	hcb238	15
64	Rebytre	15
64	F_Uhre	15
64	PigDab	15
64	Quaintster	15
71	PhantomsGhost_	14
71	LordAurum	14
71	Luigipunch989	14
74	cheerytomato	13
74	TheSecondLord	13
74	Snowflowe	13
74	LordSpeed37	13
78	WET_WET_WET	12
78	Groundler	12
78	Spenduh	12
81	I_Am_Mushkin	11
81	FirsTimeGamingTV	11
81	bloodbiter	11
81	benediktine1	11
81	wezzzi	11
81	pixelviolin	11
81	Hermanni__	11
88	Lez_	10
88	sandmire	10
88	ApophisNova	10
88	Nicky19	10
88	masskedman	10
88	Gryglu583	10
88	luseis	10
88	The_slideV3	10
88	Vorlice	10
88	Njensen7	10
88	MyNamaSheff	10
99	kekhon	9
99	Smashic	9
99	excelsionprime	9
99	set67	9
99	Parcc	9
99	Mattesco	9
99	fkGrim	9
99	Vegvisir	9
99	PortlyPete69	9
99	jnp_gaming	9
109	Jovaphobic	8
109	Hpdinosaur	8
109	Incinere	8
109	Alteriity	8
109	Natty	8
109	Frxnkz	8
109	EnderKill98	8
109	legal_tax_evader	8
109	RefluxRatio	8
109	ibarker21	8
109	Azmodan_246	8
109	TheShyPig	8
109	_Crimson_Legate	8
109	NameGenerat0r	8
109	sq0id	8
109	Xclax101	8
109	sp00ky_ghost977	8
109	_Mythic____	8
127	Cowison	7
127	RebelAndroid	7
127	Huwulling	7
127	MoistMicrowave	7
127	MOSS000	7
127	Sleepy_Time_	7
127	crying_wolf_13	7
127	eviltunix	7
127	gcaisawesome	7
127	Zaridey	7
127	SuperPooch06	7
127	Rumpletaezer	7
127	Silvo614	7
127	Bumpy419	7
127	Onennon	7
127	cedric72	7
127	NomadicRobin_	7
127	TheSeismicDuck	7
127	Fuad_R	7
127	Nycteus_	7
127	fluddd	7
127	Fildyr	7
127	Warlord324	7
127	Moetis	7
127	Powowowow	7
152	Lepthymo	6
152	Merv__	6
152	ITDV	6
152	Whiterooster001	6
152	aikabot	6
152	Tiberonus	6
152	MattieHD	6
152	GLLogan2	6
152	Andzic	6
152	nitram49b	6
152	fenkuu	6
152	ItsMrRamen	6
152	Hiryu27	6
152	Forcolp	6
152	SaintJosie	6
152	audiocracked	6
152	Inbefour	6
152	sufjanlover	6
152	Shoutur1	6
152	DarkS0L	6
152	shrimp_flips	6
152	Avocadogerms	6
152	Spacewardharpy7	6
152	radioactv_jelly	6
152	stavgod	6
152	lcvezra	6
152	Steelynan	6
152	TechnoNinja64	6
180	Mr_Byzantine	5
180	ECstardust	5
180	Ryan_GEMS	5
180	Ryker	5
180	EvenMina	5
180	H72l9w	5
180	301851	5
180	IWorkAtIkea	5
180	m_be9	5
180	Lumien_	5
180	poopybh	5
180	SteveCraftBlocks	5
180	Pelbo	5
180	boog4loo	5
180	Tmb1	5
180	Trixididntdie	5
180	Xalithia	5
180	Septemb3r	5
180	xxPipperDipperxx	5
180	JitteryJared2	5
180	Fast_Turtle	5
180	Donutt	5
180	Sharkbyte0	5
180	Dan_Scha	5
180	Dabatha	5
180	Fuhrer_Teemo	5
180	the_russell1611	5
180	dankxing	5
180	Barlycorn	5
180	Typadopoulos	5
180	Toriankel	5
180	SkateboardR6	5
180	Hisiste	5
180	IAmTheWalrus910	5
180	Decaying_Lotus	5
180	UCP_TheKingK	5
180	djancak	5
180	Soplight	5
180	DennyKai	5
180	Zipstor	5
180	Skippeh	5
180	2blox_	5
180	diggydog67	5
223	seanitoo	4
223	NatalieTW	4
223	Sero277	4
223	BPTY4618	4
223	DepressedCubic	4
223	Gemstuff	4
223	diamondgolem35	4
223	BlancoFlaco	4
223	youhjjhhhjj	4
223	SyntheticSurgeon	4
223	Seyaboy	4
223	jessewegottacook	4
223	Polahbear	4
223	picardred	4
223	ratglock	4
223	Cryptacity	4
223	Moyd_	4
223	Z3braYTIL	4
223	Paintz	4
223	platinumzero	4
223	pumpfonzo	4
223	Purplehere	4
223	Mouse74	4
223	ImDisconnected_	4
223	Giannism	4
223	Zythose	4
223	Nyxiom_	4
223	CranialBlowout	4
223	MustardDrinker	4
223	The11thDoctor	4
223	ooga47	4
223	zToasty69z	4
223	IamCL4SSY	4
223	Lord_Zacler	4
223	Thomez_	4
223	ori0le	4
223	Darkgon	4
223	DrGrant	4
223	Manaateee	4
223	_Karmaa	4
223	StinkyDiplomat	4
223	weabis	4
223	QueenShuvi	4
223	Druid95	4
223	Chayula	4
223	starbits140	4
223	_TCARREIRA_	4
223	Dogcorn69420	4
223	MilleGrug	4
223	Rainaldus	4
223	Vellu21	4
223	EngagedGrub41	4
223	TheOnlyRake	4
223	TitanCrafting	4
223	Crimsongale	4
223	MrMeisterProper	4
223	MusicMe1005	4
223	skrongus	4
281	_Virify_	3
281	Elprone266	3
281	Skyler_Diablo	3
281	CloroxBleach385	3
281	shineh10	3
281	q_wq	3
281	xXTheWolfmanXx	3
281	ExtraDumb	3
281	SaucyDark	3
281	nattybears	3
281	ewsophie	3
281	CoffeeNoir	3
281	Reamdin	3
281	Civop_	3
281	PhantomBionic	3
281	heckface	3
281	Stynxy	3
281	AlejandroPH1	3
281	dopplexd	3
281	Comma__	3
