rank	username	minecraft:crafted/minecraft:dune_armor_trim_smithing_template
1	Mattesco	254
2	Kowcio_	80
3	MattieHD	28
4	LuvLuvLove	26
5	milltesco	24
6	beeperbeeper5	16
7	U_Mos_	14
8	Lez_	12
8	Enderxz3	12
10	Hyp3rion_	10
11	Apollo_993	6
11	hanaryheatwave	6
13	craaaash	4
13	Legendosh	4
15	CLG_Kata	2
15	Huwulling	2
15	rarrq	2
15	royal_2	2
15	Secret_Canary	2
15	Jackattack53	2
15	Cache3	2
15	robonya_	2
15	Jimb0nat0r	2
