rank	username	minecraft:crafted/minecraft:blast_furnace
1	PlasticOtari	1616
2	Historical_Sand	569
3	500am	331
4	pintsizedrogue	121
5	HellsSponge	83
6	Manaateee	78
7	noam464	77
8	eitanzaki	66
8	kyouma777	66
10	Kakolbus	64
10	lillips	64
10	Spacewardharpy7	64
13	Groundler	59
14	Soplight	52
15	luseis	48
15	Airem_Core	48
17	TheSecondLord	47
18	Mr_Byzantine	38
18	Enderxz3	38
20	Di_infiri	36
21	12Magner05	34
22	Akoot_	33
23	Fullut	30
23	Hisiste	30
25	ewsophie	24
26	KartivGal	23
26	NameGenerat0r	23
28	SmashingPump	22
28	TheDankPlatypus	22
30	Burge_r	20
31	Inchef	18
32	IamCL4SSY	17
32	Xclax101	17
32	Kowcio_	17
35	Cortexia	16
36	FreakGenius	15
36	ProfessorDiaper	15
36	_i_ERROR_i_	15
39	Werbe	14
40	MilleGrug	13
40	xolstoi	13
42	Ssor69	12
42	Mewar	12
42	The_Cruncy	12
42	SSytex_X	12
42	h2p_emrld	12
47	Bandito_Roamer	11
47	TAKrules	11
47	Megarboh	11
47	UncreativeArtist	11
47	mihimihimihi	11
47	__tomato	11
47	tsitrawhy	11
54	_Virify_	10
54	Franco093	10
54	Zlatovlas	10
54	Blackberry1310	10
54	tortillatitan	10
54	Vetral1	10
54	Lutres_	10
54	pixelviolin	10
54	Njensen7	10
54	_3Stump_	10
64	Jovaphobic	9
64	PazinGaming	9
64	diamondgolem35	9
64	m_be9	9
64	ROY4LE	9
64	SuperPooch06	9
64	TheShyPig	9
64	wezzzi	9
64	EveryonesUncle	9
64	_Karmaa	9
64	LilcoinXX	9
64	RadarHz	9
76	Tobinator_007	8
76	BlancoFlaco	8
76	Reamdin	8
76	joethahobo	8
76	rarrq	8
76	jacxhadow	8
76	Touched_Bread	8
76	Maenara	8
76	ReSynced	8
76	Avocadogerms	8
76	censorsheep	8
76	SkateboardR6	8
76	_Meow_Mix	8
76	layabout100	8
76	starbits140	8
76	TechnoNinja64	8
92	Merv__	7
92	ImpavidArcher	7
92	kekhon	7
92	LeauVox4921	7
92	SeverianOfUrth	7
92	Snowflowe	7
92	DarkS0L	7
92	JESS_THE_RERE	7
92	1442	7
92	Eraxa	7
92	Decaying_Lotus	7
92	Segotep999	7
92	xzvu	7
92	lcvezra	7
92	Luigipunch989	7
92	WYFYoyo	7
108	Crowvens	6
108	RoskobiOne	6
108	Cowison	6
108	KarlKaek	6
108	SaucyDark	6
108	H72l9w	6
108	Cyanide4Kitten	6
108	Da_Boss_Rani	6
108	beeperbeeper5	6
108	Smashic	6
108	fade_emerge78823	6
108	gcaisawesome	6
108	SpicyMeatballs	6
108	Useless_Relic	6
108	Rumpletaezer	6
108	The_Fulgurator	6
108	Skylord_Luke	6
108	ApophisNova	6
108	yulgur1	6
108	natajimi	6
108	XxCookiequeenxX	6
108	Toiton	6
108	MAns_44	6
108	Blaiku	6
108	MakeHistory157	6
108	sp00ky_ghost977	6
108	FadedSpade82	6
108	MineMaster0012	6
108	stellarjay	6
108	Kubeusz2010	6
108	MyNamaSheff	6
108	FelixPSY375	6
140	Zedducius	5
140	prizm_	5
140	victorLIE	5
140	Lord_Jord	5
140	masskedman	5
140	valkam13	5
140	wobn	5
140	El_Jalapeno	5
140	YungMaki	5
140	brofrickcheaters	5
140	BreadBacon	5
140	smogfrog	5
140	MirielThePastor	5
153	Matemax	4
153	awesomeweasel	4
153	Frozil20	4
153	I_Am_Mushkin	4
153	Tolhart	4
153	Raltemoxitonica	4
153	T045RTY	4
153	youhjjhhhjj	4
153	Mahoose	4
153	ITDV	4
153	IgnoredBee	4
153	Vizzoid	4
153	Euclidoris	4
153	shdesolt	4
153	Comma__	4
153	mattybeewrapss	4
153	set67	4
153	Gingayy	4
153	Nach0Bear	4
153	lorpus	4
153	SellyZ	4
153	Bazongoman	4
153	Giannism	4
153	Hyp3rion_	4
153	AnnieBathory	4
153	pappaberg	4
153	Afinnity	4
153	SpaggeDR	4
153	Onennon	4
153	jewbacaman	4
153	TeenMomTom	4
153	HolyVenom	4
153	AlexChristian	4
153	Fuhrer_Teemo	4
153	drumine	4
153	Nycteus_	4
153	Druid95	4
153	stavgod	4
153	ayamefag	4
153	UCP_TheKingK	4
153	Chuglyfe	4
153	_TCARREIRA_	4
153	PortlyPete69	4
153	ZoomieZoomie	4
153	vandmanden	4
153	coobert42	4
199	TheBiggestFeller	3
199	RosaDoesMC	3
199	Apollo_993	3
199	PhantomsGhost_	3
199	_stets	3
199	lewieinnit	3
199	Hyugo	3
199	Prismyst	3
199	ShedJr_	3
199	Pofen	3
199	titanlax	3
199	Malorn_Aetherius	3
199	Notta	3
199	gilesmcriles	3
199	MinttyFressh	3
199	Scattman_	3
199	BilboBaggins23	3
199	Awyrlas	3
199	Kubelz	3
199	XboxPanda	3
199	__Fanda__	3
199	Arceus1975	3
199	JitteryJared2	3
199	Bumpy419	3
199	The11thDoctor	3
199	ooga47	3
199	Drewen24	3
199	Syropatathe	3
199	NYJ	3
199	EfficientC52	3
199	OffWithTheirHead	3
199	33sudo	3
199	SammiWolfGirl	3
199	CalebDHawk	3
199	ConnorDanky_	3
199	Nicserso	3
199	Legendosh	3
199	jnp_gaming	3
199	JayToe	3
199	Tristankill	3
239	YinToYin	2
239	Groovy_MoonBird	2
239	_Huge_Male_	2
239	Tommhh	2
239	freeandrew	2
239	Slinkyy7071	2
239	hm947	2
239	JokoFiskare	2
239	Ryker	2
239	AlazelTheReal	2
239	MoistMicrowave	2
239	NinjaKnifeKill	2
239	Jackster03	2
239	peach0s	2
239	PhantomBionic	2
239	gaziter10	2
239	SquadMonster	2
239	TheFlfthHorseman	2
239	Ozixar	2
239	NieToksikpl	2
239	Crowman1	2
239	Guillemet	2
239	Pelbo	2
239	slkiey	2
239	Z3braYTIL	2
239	thescout7	2
239	Xalithia	2
239	2Stout	2
239	eiC_	2
239	noful	2
239	ehunt54	2
239	nitram49b	2
239	MyNameIsJobo	2
239	Zythose	2
239	LAVA129	2
239	Silvo614	2
239	Azmodan_246	2
239	JETrotter	2
239	ItsAki_	2
239	RobotMinion101	2
239	seramalen	2
239	Kynigito	2
239	wrinkledpiglet	2
239	_Cloverbelle_	2
239	PigDab	2
239	Project_MKBRD	2
239	MonitorLizards	2
239	HeraclesOGU	2
239	ougstur	2
239	SaintJosie	2
239	Choco_Spy	2
239	AlphaWolfPlaysMC	2
239	Jiminbub	2
239	master9067	2
239	Deathkob	2
239	rotten_mango	2
239	The_Quack_Dealer	2
239	Soap_Bender	2
239	Jaka_Saurus_715	2
239	Quincannon	2
239	fluddd	2
239	Typadopoulos	2
