rank	username	minecraft:crafted/minecraft:magenta_carpet
1	Spacewardharpy7	10069
2	doublemaki	9387
3	joethahobo	3612
4	Lez_	2845
5	beeperbeeper5	2592
6	jnp_gaming	1920
7	craaaash	1728
8	Racengan	960
9	Huwulling	483
10	Groundler	420
11	Crowman1	315
12	Kowcio_	304
13	SoftSix	288
14	Enderxz3	264
15	RebelAndroid	256
16	ConnorDanky_	215
17	Mr_Byzantine	204
18	Yamdalorian	192
19	lordpipe	156
20	noam464	123
21	CattSoup	114
22	mwrty	105
23	Literally_Rat	96
23	Swexti	96
23	PigDab	96
23	Cocoamallows	96
27	HellsSponge	93
27	Njensen7	93
29	KingMatthew506	76
30	SaucyDark	69
30	Inbefour	69
32	Napoleonpancake	66
33	TheShyPig	64
34	TechnoNinja64	60
35	Di_infiri	48
35	PlzNoBM	48
35	Legendosh	48
35	UrbanPlanningEx	48
39	Archsam	45
39	Ezekson	45
41	AJplaysMC_	36
42	cutelilreno	33
43	thewindmillman	27
44	Alteriity	24
45	Jokerman369	18
45	Spaghettatron	18
47	KlausVonStiglitz	16
48	Merv__	15
48	Sleepy_Evelyn	15
48	500am	15
48	Fullut	15
48	wrinkledpiglet	15
48	Buuck_	15
48	EcksD	15
55	Mahoose	9
55	InfernalMound	9
55	Avocadogerms	9
55	pixelviolin	9
55	miramyu	9
55	_i_ERROR_i_	9
61	titanlax	8
62	pintsizedrogue	6
62	QuiCreans	6
62	Werbe	6
62	Quaintster	6
62	El_Jalapeno	6
67	IAmTheWalrus910	4
68	_Huge_Male_	3
68	nocturne78	3
68	heckface	3
68	TheSecondLord	3
68	kekhon	3
68	Hyp3rion_	3
68	cedric72	3
68	Leyna3	3
68	Manaateee	3
68	Blaiku	3
68	lunkuku	3
68	_Mythic____	3
68	djancak	3
68	robonya_	3
68	hermmm_	3
68	PlasticOtari	3
84	CacheOut	2
