rank	username	minecraft:crafted/minecraft:yellow_terracotta
1	MilleGrug	4096
2	YungMaki	2064
3	Nicserso	1728
4	Snowflowe	1664
5	Inbefour	1176
6	lillips	1088
7	thewindmillman	1024
8	Legendosh	888
9	Kowcio_	848
10	Onennon	600
11	ProfessorBee	576
12	Mahoose	496
13	joethahobo	456
14	SSytex_X	424
15	Frozil12	400
16	lordpipe	396
17	sebastiensaborio	384
18	kekhon	336
18	500am	336
20	Merv__	296
21	stavgod	256
22	Lord_Jord	236
23	PlasticOtari	216
24	NomadicRobin_	192
25	Barlycorn	184
26	_naturell	176
27	Parcc	168
27	PortlyPete69	168
29	pintsizedrogue	160
30	Blu3beast	144
31	Notta	128
31	SteveCraftBlocks	128
31	mariominejedi	128
31	Kim_Jong_eel	128
31	_Karmaa	128
31	The_SlideV5	128
37	m_be9	120
38	Weepingbiel	112
39	Smoke____	105
40	xXTheWolfmanXx	104
40	Zaridey	104
42	xxPipperDipperxx	96
43	ImpavidArcher	84
44	AuroraValkyrie	80
45	_Virify_	64
45	TheSecondLord	64
45	theonlymagikarp	64
45	Kakolbus	64
45	Marbz_	64
45	El_Jalapeno	64
51	Quincannon	56
52	Blamphe	48
53	NameGenerat0r	40
54	HellsSponge	32
54	MovingFish7	32
56	2Stout	24
56	gcaisawesome	24
56	Akoot_	24
59	Sral7	20
60	Di_infiri	18
61	CarltheCuck	16
62	heckface	12
63	thescout7	10
64	beeperbeeper5	9
65	Bandito_Roamer	8
65	EMC_	8
65	ratglock	8
65	Hiryu27	8
65	ooga47	8
65	DarlaMeow	8
65	Spacewardharpy7	8
65	oxfordschool	8
73	noam464	6
74	The_slideV3	5
74	pixelviolin	5
