rank	username	minecraft:crafted/minecraft:lectern
1	Lez_	1095
2	beeperbeeper5	769
3	Hyp3rion_	340
4	500am	275
5	AdmiralSmoke	234
6	pintsizedrogue	220
7	Kowcio_	176
8	joethahobo	169
9	noam464	145
10	EMC_	140
11	eitanzaki	139
12	PlasticOtari	131
13	Merv__	120
14	TheShyPig	102
15	TheSecondLord	94
16	Legendosh	91
17	Mattesco	88
17	EveryonesUncle	88
19	HellsSponge	87
20	Jimb0nat0r	86
21	luseis	77
22	FreakGenius	76
23	Smashic	71
24	Di_infiri	68
25	Spacewardharpy7	67
26	Mahoose	65
27	Nycteus_	64
28	Lord_Jord	63
29	Werbe	56
30	gcaisawesome	55
31	Vizzoid	53
32	Soplight	52
33	_Huge_Male_	51
33	kekhon	51
33	The_SlideV5	51
36	PigDab	50
37	FishyBoy3811	49
38	_Dean_123	47
38	Ezekson	47
40	sp00ky_ghost977	46
41	Steelynan	45
42	Historical_Sand	41
42	corvidpartyfor6	41
44	Mr_Byzantine	39
44	thescout7	39
44	Sorry_Arey	39
47	xxPipperDipperxx	35
47	Bumpy419	35
49	Alteriity	34
50	Fullut	33
51	mwrty	32
51	Kakolbus	32
51	Zythose	32
54	Rumpletaezer	31
55	Racengan	30
55	pixelviolin	30
57	excelsionprime	29
57	Awyrlas	29
57	ConnorDanky_	29
60	ImpavidArcher	26
61	fluddd	25
61	Hisiste	25
63	Snowflowe	24
63	Manaateee	24
65	RebelAndroid	23
65	DanTheBuilderino	23
65	Blaiku	23
65	fffMike	23
69	diamondgolem35	22
69	SyntheticSurgeon	22
71	Frxnkz	21
71	SvenskaHugo	21
71	JayToe	21
74	Apollo_993	19
74	H72l9w	19
76	Sral7	18
77	burbankbuilder28	17
77	oscminus	17
77	claivin	17
77	YungMaki	17
77	MineMaster0012	17
82	CharlieButt	16
82	Jackattack53	16
82	PortlyPete69	16
82	TheBananaKat	16
82	TechnoNinja64	16
87	H0UNDFRMH3LL	15
87	MinttyFressh	15
87	thewindmillman	15
90	12Magner05	14
90	Inchef	14
90	MightyWertu	14
90	mihimihimihi	14
94	T045RTY	13
94	Raspberry_Sodas	13
94	SteveCraftBlocks	13
94	Skylord_Luke	13
94	THEKINGLyric10	13
99	RoskobiOne	12
99	Ryker	12
99	EngagedGrub41	12
102	ActualPatbaf	11
102	SpacesickPrism	11
102	Skippeh	11
105	Cowison	10
105	KingFaenor	10
105	Frozil20	10
105	EfficientC52	10
105	djancak	10
110	Comma__	9
110	ApophisNova	9
110	AuroraSkies	9
110	BumbleBeever	9
110	MilleGrug	9
110	MyNamaSheff	9
116	SmashingPump	8
116	Ryan_GEMS	8
116	CoffeeNoir	8
116	eiC_	8
116	Karetoko	8
116	NomadicRobin_	8
116	Xclax101	8
116	lordpipe	8
116	SammiWolfGirl	8
116	ZeroKraken	8
116	Nicserso	8
116	Enderxz3	8
116	Zoeyfortnite	8
116	xolstoi	8
130	youhjjhhhjj	7
130	ivorico	7
130	301851	7
130	rarrq	7
130	Blackberry1310	7
130	bloodbiter	7
130	set67	7
130	hanaryheatwave	7
130	IamCL4SSY	7
130	The_slideV3	7
130	jnp_gaming	7
130	diggydog67	7
142	livingdaydreams	6
142	jessewegottacook	6
142	Swexti	6
142	m_be9	6
142	MattieHD	6
142	Arceus1975	6
142	El_Jalapeno	6
149	k_ce	5
149	ShedJr_	5
149	Onennon	5
149	AstreaTSS	5
149	Groundler	5
149	UCP_TheKingK	5
149	xzvu	5
149	anbbang	5
157	CLG_Kata	4
157	6king6colt6	4
157	KarlKaek	4
157	Huwulling	4
157	ARandomHedge	4
157	TheDankPlatypus	4
157	mariominejedi	4
157	_Boipl_	4
157	Dan_Scha	4
157	_Karmaa	4
157	WyngGoy	4
157	starbits140	4
157	LeeMcGee30	4
157	FormulaNewt3627	4
171	AuroraValkyrie	3
171	ImNotYuqii	3
171	Euclidoris	3
171	Mewar	3
171	SellyZ	3
171	legal_tax_evader	3
171	whoaluv	3
171	Solar_Power	3
171	Fast_Turtle	3
171	PaperCanvas	3
171	Maenara	3
171	Akoot_	3
171	TheTrueClipse	3
171	fkGrim	3
171	_Bguette_	3
171	MAns_44	3
171	Blu3beast	3
171	33sudo	3
171	Fizznut909	3
171	Hermanni__	3
171	Vellu21	3
171	BreadBacon	3
171	Powowowow	3
171	FishisTTV	3
171	00000000-0000-0000-0009-01ff0c3e5e4f	3
196	MunkaKris	2
196	Jovaphobic	2
196	Groovy_MoonBird	2
196	Bandito_Roamer	2
196	teslawolf38	2
196	Sleek_Storm_721	2
196	IgnoredBee	2
196	jacxhadow	2
196	Rich_Kat	2
196	Guillemet	2
196	Z3braYTIL	2
196	2Stout	2
196	XboxPanda	2
196	HoltGrim	2
196	SuperPooch06	2
196	King_Pancake1	2
196	Krowuss	2
196	Hoid_the_Roamer	2
196	Hiryu27	2
196	RobotMinion101	2
196	ooga47	2
196	AlexxO_o	2
196	jewbacaman	2
196	MonitorLizards	2
196	HeraclesOGU	2
196	Kim_Jong_eel	2
196	parodypatient	2
196	Lord_Zacler	2
196	Fuhrer_Teemo	2
196	Deathkob	2
196	Tyrannosplart	2
196	StinkyDiplomat	2
196	ReflexCode	2
196	Lunkuku	2
196	ProfessorDiaper	2
196	Factoroni	2
196	StarCookiees_	2
196	Eraxa	2
196	TheEnderMan548	2
196	lcvezra	2
196	Invintic	2
196	mawileite	2
196	cichy096	2
196	2blox_	2
240	heysushii	1
240	Harotio	1
240	Paint	1
240	FujiBS	1
240	Yatitay	1
240	DepressedCubic	1
240	TooManyDuck	1
240	Hpdinosaur	1
240	Wooptey	1
240	openatheclose	1
240	Natty	1
240	Prismyst	1
240	Archsam	1
240	fr0stss	1
240	w3nd3lbo3	1
240	Ssor69	1
240	chlorinex	1
240	Ozixar	1
240	Saucepeh	1
240	Crowman1	1
240	Auseawesome	1
240	CliffEmAll	1
240	zorin123	1
240	redikul	1
240	Kamflame10	1
240	Motsaro	1
240	Eraza	1
240	PegLegPete93	1
240	Tjhodskins19	1
240	Xalithia	1
240	LeauVox4921	1
240	ROY4LE	1
240	Gamergirl420628	1
240	SHAOBADMAN	1
240	M_Patata	1
240	Zaridey	1
240	RustyKedel	1
240	BlueZabu	1
240	shadowthemonkey	1
240	CollinMH06	1
240	Windo_licker	1
240	MyNameIsJobo	1
240	SlayerCrypto	1
240	vampgey	1
240	_8man	1
240	Reneedium	1
240	andy_rex	1
240	SirPiccardo	1
240	Eczbox	1
240	Rebytre	1
240	Felenov	1
240	ItsAki_	1
240	Kynigito	1
240	Moofyman	1
240	KeruNatsema	1
240	ClemenPine	1
240	Drewen24	1
240	Luminad3	1
240	KliBeast21	1
240	LeonelSalamanca	1
240	FreddyFart	1
