rank	username	minecraft:crafted/minecraft:warped_stairs
1	rarrq	2248
2	beeperbeeper5	1468
3	catandmoose	596
4	Fuad_R	560
5	kekhon	516
6	AdmiralSmoke	456
7	Lutres_	428
8	Manaateee	420
9	weabis	384
10	IgnoredBee	268
11	hanaryheatwave	256
12	Marbz_	228
13	thewindmillman	212
13	Enderxz3	212
15	Akoot_	204
16	Lez_	196
17	SpacesickPrism	192
18	Apollo_993	168
19	pintsizedrogue	164
20	Eraxa	160
21	EveryonesUncle	144
22	Mr_Byzantine	140
22	Steelynan	140
22	Legendosh	140
25	TheEnderMan548	128
26	teslawolf38	120
27	Historical_Sand	108
28	Biites	96
29	Jonafrog99	88
30	Hpdinosaur	84
31	eitanzaki	80
32	Fullut	76
32	Kowcio_	76
32	00000000-0000-0000-0009-01ff0c3e5e4f	76
35	HolyVenom	68
36	TheSecondLord	64
37	Xalithia	60
38	12Magner05	56
38	Optiprimus	56
40	0Vyp_	52
40	Dakar_	52
40	Shogunite	52
43	Lord_Jord	48
44	Decaying_Lotus	44
45	Wooptey	40
45	noam464	40
45	diggydog67	40
48	KarlKaek	36
48	joethahobo	36
48	Nicserso	36
51	Hoid_the_Roamer	32
51	PigDab	32
51	SvenskaHugo	32
54	Mahoose	24
54	Werbe	24
56	TheDankPlatypus	20
56	luseis	20
58	SuperPooch06	12
58	ooga47	12
58	CalebDHawk	12
58	Ezekson	12
58	ConnorDanky_	12
58	Jimb0nat0r	12
64	HellsSponge	10
65	jessewegottacook	8
65	Blackberry1310	8
65	BobDeBouwer1337	8
65	Jackattack53	8
65	FreakGenius	8
65	PlasticOtari	8
71	_Huge_Male_	4
71	PazinGaming	4
71	Huwulling	4
71	Sleepy_Time_	4
71	Zythose	4
71	LexMakesHistory	4
71	Spacewardharpy7	4
71	Soplight	4
71	SammiWolfGirl	4
71	EngagedGrub41	4
