rank	username	minecraft:crafted/minecraft:cookie
1	kekhon	26392
2	TechnoNinja64	5736
3	pintsizedrogue	4448
4	PigDab	3192
5	eitanzaki	2344
6	xxPipperDipperxx	2036
7	bloodbiter	1912
8	500am	1782
9	PlasticOtari	1728
10	Groovy_MoonBird	1576
11	Di_infiri	1422
12	TheShyPig	1350
13	PhantomsGhost_	1294
14	seramalen	1240
15	m_be9	1098
16	Enderslayerxz3	972
17	boog4loo	960
17	Akoot_	960
19	NotMeanttoChange	864
20	Blackberry1310	824
21	teslawolf38	752
22	SammiWolfGirl	696
23	Mahoose	648
24	noam464	624
25	beeperbeeper5	594
26	Werbe	540
26	AssEatrAndLicker	540
28	titanlax	520
29	EveryonesUncle	512
30	PortlyPete69	480
31	pixelviolin	468
32	Smoke____	462
33	Hyp3rion_	450
33	Eraxa	450
35	Jackattack53	448
36	Fullut	440
37	TheEnderman548	432
38	TheSecondLord	414
39	Sral7	396
40	Freak_Genius	378
40	Frozil12	378
42	lcvezra	376
43	Kubeusz2010	368
44	jacxhadow	336
45	thescout7	324
46	RebelAndroid	320
47	MightyWertu	300
48	CharlieButt	288
49	CoffeeNoir	256
49	2Stout	256
51	starbits140	252
52	ese_wn_po	248
53	LilLizardWizard	244
54	TakeThis2UrGrave	240
55	6king6colt6	216
55	Comma__	216
55	AmbroseForLife	216
55	Soplight	216
55	Hermanni__	216
60	set67	192
61	Skylord_Luke	180
61	Racengan	180
61	IdeallyGrey	180
64	Drlzyy	162
64	Nicserso	162
64	FishisTTV	162
67	_Boipl_	152
67	Quaintster	152
69	MinttyFressh	144
69	Snowflowe	144
69	chipklip	144
72	Arceus1975	140
73	KomputerDude	136
74	xo_Marren_xo	126
74	LordAurum	126
76	bbrothers_5	112
77	ExtraDumb	108
77	Maltyy	108
77	PegLegPete93	108
77	Kim_Jong_eel	108
77	KingMatthew506	108
82	Russiancat1	96
82	fluddd	96
82	YungMaki	96
85	XboxPanda	90
85	Luigipunch989	90
87	Ezekson	82
88	TAKrules	72
88	jnp_gaming	72
88	Zoeyfortnite	72
91	thewindmillman	56
91	censorsheep	56
93	_Virify_	54
93	theonlymagikarp	54
93	Onennon	54
93	Skippeh	54
97	sufjanlover	46
98	MunkaKris	36
98	Historical_Sand	36
98	Sky_light_KING	36
101	Hpdinosaur	18
101	thgrocks	18
101	Inbefour	18
101	JESS_THE_RERE	18
101	toos1esl1de	18
101	gaming4Naming	18
101	FelixPSY375	18
101	Powowowow	18
109	Myszoaz	16
109	dopplexd	16
109	Cryptacity	16
109	Spacewardharpy7	16
113	FirsTimeGamingTV	8
113	bbquakes	8
113	mwrty	8
113	XxCookiequeenxX	8
113	Toiton	8
113	Dusk_95	8
113	kinas45y5	8
