rank	username	minecraft:crafted/minecraft:golden_helmet
1	TheSecondLord	23
2	TheShyPig	16
3	lillips	12
3	Smoke____	12
5	BobDeBouwer1337	11
6	Mahoose	7
6	Blackberry1310	7
8	beeperbeeper5	6
8	Zaridey	6
8	Katsuragi0243218	6
8	obzii	6
12	BlancoFlaco	5
12	500am	5
12	Kakolbus	5
12	HellsSponge	5
12	DanTheBuilderino	5
12	GravitySaint	5
18	Smashic	4
18	thescout7	4
18	Inchef	4
18	xxPipperDipperxx	4
18	Kynigito	4
18	Nicky19	4
18	Ezekson	4
18	TechnoNinja64	4
26	pintsizedrogue	3
26	_Razar	3
26	eitanzaki	3
26	T045RTY	3
26	joethahobo	3
26	12Magner05	3
26	__TheNorseMan__	3
26	SuperPooch06	3
26	FishyBoy3811	3
26	NomadicRobin_	3
26	EveryonesUncle	3
26	Racengan	3
26	lordpipe	3
26	EcksD	3
26	RadarHz	3
26	Lowjinx	3
26	Enderslayerxz3	3
26	PlasticOtari	3
26	00000000-0000-0000-0009-01ff0c3e5e4f	3
45	Groovy_MoonBird	2
45	RoskobiOne	2
45	ImpavidArcher	2
45	livingdaydreams	2
45	rarrq	2
45	CliffEmAll	2
45	MinttyFressh	2
45	PegLegPete93	2
45	r123moore	2
45	Di_infiri	2
45	Hyp3rion_	2
45	jewbacaman	2
45	Austinizzle	2
45	LexMakesHistory	2
45	Spacewardharpy7	2
45	Eraxa	2
45	Jij0	2
45	stellarjay	2
45	Poppy235	2
45	Njensen7	2
45	oxfordschool	2
45	JayToe	2
45	MelodyGaysharks	2
45	diggydog67	2
69	Tobinator_007	1
69	fanofbands101	1
69	Cowison	1
69	Paint	1
69	Merv__	1
69	Tommhh	1
69	KarlKaek	1
69	Dedalus36	1
69	JingleLizi	1
69	Incinere	1
69	Natty	1
69	CoffeeNoir	1
69	MLG_Kirby69	1
69	NinjaKnifeKill	1
69	tsohomie	1
69	H72l9w	1
69	Whiterooster001	1
69	Malorn_Aetherius	1
69	ratglock	1
69	bloodbiter	1
69	Ardennes	1
69	Lumien_	1
69	Fullut	1
69	mwrty	1
69	SUSUGAM	1
69	Paintz	1
69	noam464	1
69	Matek_	1
69	CharlieButt	1
69	SeverianTheLame	1
69	Windo_licker	1
69	loveseeker	1
69	gabriels543	1
69	Arceus1975	1
69	thewindmillman	1
69	Zythose	1
69	burbankbuilder28	1
69	_Boipl_	1
69	BasedEphex	1
69	ApophisNova	1
69	Werbe	1
69	selectrix	1
69	fred870d	1
69	wrinkledpiglet	1
69	TeenMomTom	1
69	YahooScreen9000	1
69	sxc_	1
69	Akoot_	1
69	wezzzi	1
69	420BreadLizard	1
69	_Crimson_Legate	1
69	Gab4101	1
69	Gryglu583	1
69	XxCookiequeenxX	1
69	Deathkob	1
69	Lutres_Torane	1
69	HELLO_I_AM_BEAR	1
69	ebanana	1
69	NameGenerat0r	1
69	MangoSalad316	1
69	C0oOK13M0N5T3R	1
69	FlashMigma	1
69	SwooshBoi	1
69	Frozil12	1
69	Xclax101	1
69	MightyWertu	1
69	BumbleBeever	1
69	Fildyr	1
69	Dusk_95	1
69	CheifJumbo	1
69	MakeHistory157	1
69	Nagasaki_Riku	1
69	Optiprimus	1
69	ayamefag	1
69	TheEnderman548	1
69	07shiny	1
69	IdeallyGrey	1
69	Kowcio_	1
69	MineMaster0012	1
69	UCP_TheKingK	1
69	Segotep999	1
69	alkrie	1
69	Luigipunch989	1
69	GlitchyPlate810	1
69	CoryJJ	1
69	SunsetwolfGG	1
69	Nargotah	1
69	Kferno	1
69	MilleGrug	1
69	Hermanni__	1
69	SirBreadward	1
69	Hylo482y	1
69	MyNamaSheff	1
69	JasmineGK	1
69	jnp_gaming	1
69	Sral7	1
69	YoshikageBites	1
69	EcksDofficial	1
69	WinterYoke	1
69	h2p_emrld	1
69	00000000-0000-0000-0009-01f898304150	1
