rank	username	minecraft:crafted/minecraft:lime_wool
1	noam464	3968
2	Spacewardharpy7	768
3	Ezekson	736
4	handsome_strong	256
5	ApophisNova	192
5	MyNamaSheff	192
7	Lez_	138
8	Inbefour	135
9	beeperbeeper5	134
10	Kowcio_	129
11	Njensen7	128
12	Legendosh	122
13	Kakolbus	113
14	PeteO1995	85
15	HollieDaNugget	76
16	IWorkAtIkea	64
16	Werbe	64
16	Mattesco	64
16	jnp_gaming	64
20	luseis	62
21	eitanzaki	60
22	The_slideV3	28
23	ECstardust	27
24	valiSW	24
25	Soplight	23
26	Quotary	22
27	LilLizardWizard	18
28	DarlaMeow	17
29	MakeHistory157	14
30	EMC_	13
31	teslawolf38	12
31	Pofen	12
31	_Dean_123	12
31	audiocracked	12
35	FreakGenius	10
36	thewindmillman	9
36	monky_irl	9
36	Druid95	9
39	Enderxz3	8
40	abramgray	6
40	SirUnderpants	6
40	Wooptey	6
40	m_be9	6
40	legal_tax_evader	6
40	Snowflowe	6
40	GravitySaint	6
40	LordSpeed37	6
40	Eraxa	6
49	SmashingPump	4
49	T045RTY	4
49	Scathra	4
49	Manaateee	4
49	YungMaki	4
54	Kyrum2169	3
55	SuperPooch06	2
55	LexMakesHistory	2
55	Blu3beast	2
58	k_ce	1
58	imcombxt	1
58	ARandomHedge	1
58	Hyp3rion_	1
58	lordpipe	1
58	Invintic	1
