rank	username	minecraft:crafted/minecraft:blue_stained_glass
1	beeperbeeper5	28688
2	Hyp3rion_	21456
3	Blu3beast	19288
4	noam464	15864
5	EMC_	12192
6	Spacewardharpy7	9344
7	MilleGrug	8640
8	Zythose	6248
9	MightyWertu	6152
10	lordpipe	5472
11	Franco093	3400
12	AuroraValkyrie	3352
13	ssleepless	3114
14	Skippeh	2248
15	Hiryu27	2168
16	sp00ky_ghost977	2024
17	Syropatathe	1592
18	nocturne78	1440
19	Swexti	1392
20	Di_infiri	1280
21	TheShyPig	1064
22	Smoke____	936
23	Powowowow	808
24	NinjaKnifeKill	768
25	EcksD	616
26	teslawolf38	600
27	ProfessorBee	592
28	MakeHistory157	512
29	walll	488
30	Sleek_Storm_721	400
31	yatsuta	384
32	ItsDeltaMC	368
33	Ezekson	352
34	awesomeoneme	320
34	Notta	320
36	Merv__	312
37	Nicserso	304
38	Bandito_Roamer	296
38	The_slideV3	296
40	wezzzi	256
40	Hermanni__	256
42	TheSecondLord	224
43	Frozil12	216
44	titanlax	208
45	thewindmillman	192
45	MustardDrinker	192
45	Invisie	192
45	Blaiku	192
49	chipklip	184
50	LexMakesHistory	168
51	xxPipperDipperxx	160
51	__tomato	160
51	Vellu21	160
54	eitanzaki	152
54	Whiterooster001	152
54	epiksk8erduck	152
57	CliffEmAll	136
58	Steelynan	104
59	seramalen	96
59	oxfordschool	96
61	domagawha	88
61	XxCookiequeenxX	88
61	VentiHilton	88
64	El_Jalapeno	80
64	lcvezra	80
66	ImpavidArcher	72
66	fallingemma	72
66	The11thDoctor	72
66	Enderslayerxz3	72
70	500am	64
70	Marbz_	64
70	tobinwilliams	64
70	dartwaffle	64
70	Maenara	64
70	Lutres_Torane	64
76	Jiminbub	56
77	JEWISHBadenBeele	48
77	QueenShuvi	48
79	rarrq	40
79	Lord_Jord	40
79	lillips	40
82	RoskobiOne	32
82	Wooptey	32
82	Doom_melon	32
82	Snowflowe	32
82	OnlyOfficial	32
82	Lowjinx	32
82	PlasticOtari	32
89	HellsSponge	28
90	PhantomsGhost_	24
90	jacxhadow	24
90	Inchef	24
90	Xalithia	24
90	burbankbuilder28	24
90	ApophisNova	24
90	Mattesco	24
90	MyNamaSheff	24
98	SaucyDark	16
98	heckface	16
98	bloodbiter	16
98	m_be9	16
98	mwrty	16
98	Onennon	16
98	ese_wn_po	16
98	Jiminie	16
98	Freak_Genius	16
98	Groundler	16
98	LordSpeed37	16
98	Kowcio_	16
98	brofrickcheaters	16
98	EcksDofficial	16
98	diggydog67	16
113	Jovaphobic	8
113	pintsizedrogue	8
113	6king6colt6	8
113	livingdaydreams	8
113	CoffeeNoir	8
113	peach0s	8
113	Historical_Sand	8
113	Blackberry1310	8
113	Comma__	8
113	kekhon	8
113	noodlepack	8
113	_Dean_123	8
113	Fullut	8
113	ROY4LE	8
113	XboxPanda	8
113	Werbe	8
113	fred870d	8
113	TJawesome09	8
113	RodSerlingCringe	8
113	Inbefour	8
113	MAns_44	8
113	fluddd	8
113	Factoroni	8
113	TheDumbHuman	8
113	Optiprimus	8
113	Kijiki	8
113	BlankityMcBlank	8
113	SammiWolfGirl	8
113	GlitchyPlate810	8
113	Kubeusz2010	8
113	Quotary	8
113	little_dUki	8
113	trexgb	8
