rank	username	minecraft:crafted/minecraft:cherry_door
1	Lez_	102
2	cuddlyMonster	24
3	Mr_Byzantine	15
3	Merv__	15
3	Mattesco	15
6	LuvLuvLove	12
7	Steelynan	9
7	icim	9
9	shineh10	6
9	RatatJuice	6
9	MattieHD	6
9	Reneedium	6
9	Moofyman	6
9	StarCookiees_	6
15	k_ce	3
15	CLG_Kata	3
15	Napoleonpancake	3
15	mymayowasgone	3
15	Tersea_	3
15	Dynamic_wolf_1	3
15	bl1ss0	3
15	Krowuss	3
15	OreTheBear	3
15	Werbe	3
15	XxCookiequeenxX	3
15	Manaateee	3
15	Cache3	3
15	pixelviolin	3
15	Kowcio_	3
15	Soplight	3
15	robonya_	3
15	MisfitsMike	3
15	Enderxz3	3
15	Jimb0nat0r	3
