rank	username	minecraft:crafted/minecraft:conduit
1	Hyp3rion_	35
2	Bumpy419	19
3	thewindmillman	14
4	Apollo_993	13
5	HellsSponge	10
6	Fullut	9
6	EcksD	9
8	ImpavidArcher	8
8	Maenara	8
8	Skippeh	8
11	Mahoose	7
11	Blu3beast	7
13	pintsizedrogue	6
13	pixelviolin	6
13	YungMaki	6
13	Enderxz3	6
17	12Magner05	5
17	kekhon	5
17	xolstoi	5
20	Bandito_Roamer	4
20	500am	4
20	Di_infiri	4
20	Chromary	4
20	Onennon	4
20	TheShyPig	4
20	lizardfightclub	4
20	Blaiku	4
20	Dogcorn69420	4
29	PhantomsGhost_	3
29	Lez_	3
29	noam464	3
29	Zythose	3
29	Donutt	3
29	oscminus	3
29	claivin	3
29	jnp_gaming	3
29	vandmanden	3
38	Groovy_MoonBird	2
38	6king6colt6	2
38	Alteriity	2
38	beeperbeeper5	2
38	Blackberry1310	2
38	excelsionprime	2
38	Mewar	2
38	Xalithia	2
38	Noah_Bez	2
38	M_Patata	2
38	Rumpletaezer	2
38	Kouridragon	2
38	Lord_Jord	2
38	Manaateee	2
38	FreakGenius	2
38	QueenShuvi	2
38	MightyWertu	2
38	MasterNueve	2
38	Segotep999	2
38	Nicserso	2
38	PlasticOtari	2
59	j5ylim	1
59	EMC_	1
59	diamondgolem35	1
59	ssleepless	1
59	hm947	1
59	Incinere	1
59	eitanzaki	1
59	Seyaboy	1
59	CoffeeNoir	1
59	joethahobo	1
59	Da_Boss_Rani	1
59	Euclidoris	1
59	TheSecondLord	1
59	MinttyFressh	1
59	Tiberonus	1
59	thescout7	1
59	Covalents	1
59	Zaridey	1
59	Winklepicker279	1
59	legal_tax_evader	1
59	Jackattack53	1
59	SuperPooch06	1
59	Hiryu27	1
59	aec9	1
59	TheTrueClipse	1
59	NomadicRobin_	1
59	luseis	1
59	GoofyBread	1
59	NameGenerat0r	1
59	MAns_44	1
59	fluddd	1
59	Racengan	1
59	BumbleBeever	1
59	Fildyr	1
59	Spacewardharpy7	1
59	MovingFish7	1
59	LetsDoItLive	1
59	WyngGoy	1
59	33sudo	1
59	Majonezzon	1
59	stavgod	1
59	Eraxa	1
59	Kowcio_	1
59	SSytex_X	1
59	SammiWolfGirl	1
59	_TCARREIRA_	1
59	SpacesickPrism	1
59	jcool7	1
59	ConnorDanky_	1
59	Powowowow	1
59	UrbanPlanningEx	1
59	calamariclam_I	1
59	MadmanRaven	1
