rank	username	minecraft:crafted/minecraft:mangrove_fence
1	k_ce	504
2	Merv__	279
3	Yamdalorian	261
4	Spaghettatron	144
5	Enderxz3	120
6	Steelynan	117
7	Galactic_Badger	111
8	Druid95	96
9	hanaryheatwave	78
10	Mr_Byzantine	63
10	Soplight	63
12	pintsizedrogue	45
13	Lez_	30
13	Kondzik2008	30
15	Caribouse	24
15	Kowcio_	24
15	Jimb0nat0r	24
18	xxPipperDipperxx	21
19	bl1ss0	18
19	Legendosh	18
21	Mattesco	15
21	Segotep999	15
21	KamFurnace	15
24	Apollo_993	12
24	Secret_Canary	12
24	Werbe	12
27	TheSecondLord	9
28	oscminus	6
28	00000000-0000-0000-0009-01ff0c3e5e4f	6
30	Mahoose	3
30	Manaateee	3
30	pixelviolin	3
