rank	username	minecraft:crafted/minecraft:purple_glazed_terracotta
1	lordpipe	252
2	luseis	228
3	ImpavidArcher	204
4	beeperbeeper5	195
5	Apollo_993	158
6	Hyp3rion_	108
6	Kowcio_	108
6	Enderxz3	108
9	mymayowasgone	84
10	Jackattack53	72
11	QuiCreans	64
11	PaperCanvas	64
11	Blaiku	64
14	Werbe	48
15	Lez_	45
16	Mr_Byzantine	36
16	Mahoose	36
16	Krowuss	36
19	Buuck_	32
20	joethahobo	24
20	Di_infiri	24
20	Bumpy419	24
20	oscminus	24
20	Elastiq	24
20	MAns_44	24
20	Pumpkin_P_Patch	24
27	Yamdalorian	17
28	SaucyDark	16
29	eitanzaki	12
29	Historical_Sand	12
29	Smashic	12
29	_witch_craft_	12
29	noam464	12
29	Kakolbus	12
29	lunkuku	12
29	sp00ky_ghost977	12
29	robonya_	12
38	Inbefour	8
38	StinkyDiplomat	8
40	Comma__	7
40	Tyrannosplart	7
42	cuddlyMonster	6
42	pixelviolin	6
44	doublemaki	4
45	EngagedGrub41	2
46	ItsDeltaMC	1
