rank	username	minecraft:crafted/minecraft:mangrove_boat
1	Mahoose	4
2	Enderslayerxz3	3
3	pintsizedrogue	2
3	Touched_Bread	2
5	Merv__	1
5	SteveCraftBlocks	1
5	Jiminie	1
