rank	username	minecraft:crafted/minecraft:tnt_minecart
1	Jackattack53	1281
2	Smashic	190
3	CollinMH06	62
4	EdGalbraith	28
5	Mr_Byzantine	26
6	Cache3	22
7	Di_infiri	21
8	HellsSponge	20
9	craaaash	18
10	WyngGoy	16
11	Groundler	13
12	eviltunix	10
12	gcaisawesome	10
14	oscminus	8
14	claivin	8
16	beeperbeeper5	5
17	PlasticOtari	4
17	Yamdalorian	4
19	Spacewardharpy7	3
19	stavgod	3
21	Merv__	2
21	Hyp3rion_	2
21	MightyWertu	2
24	12Magner05	1
24	Leyna3	1
24	LexMakesHistory	1
24	JESS_THE_RERE	1
24	Quincannon	1
24	StarCookiees_	1
24	doublemaki	1
