rank	username	minecraft:crafted/minecraft:smooth_red_sandstone
1	crashomon	754
2	Lez_	389
3	ApophisNova	262
4	TheShyPig	256
5	_Huge_Male_	192
6	Groovy_MoonBird	186
7	Steelynan	141
8	Marbz_	128
9	Mr_Byzantine	115
10	Legendosh	44
11	oreee	27
12	M_Patata	22
12	HellsSponge	22
12	MasterNueve	22
15	MattieHD	15
16	Manaateee	13
17	beeperbeeper5	12
18	pixelviolin	8
19	ImpavidArcher	6
19	TheKingK_	6
21	Spacewardharpy7	4
22	thewindmillman	2
22	FreakGenius	2
24	Huwulling	1
24	JESS_THE_RERE	1
24	ItsDeltaMC	1
