rank	username	minecraft:crafted/minecraft:brown_concrete_powder
1	joethahobo	36952
2	lordpipe	5120
3	ApophisNova	3328
3	MyNamaSheff	3328
5	Manaateee	1784
6	YungMaki	816
7	Kowcio_	736
8	Blackberry1310	704
9	500am	528
10	EveryonesUncle	512
11	Snowflowe	384
11	AdmiralSmoke	384
13	diamondgolem35	256
13	Fullut	256
13	groofles	256
13	ConnorDanky_	256
17	TheSecondLord	160
18	ItsGrayWolf	128
19	beeperbeeper5	104
20	fluddd	96
21	LordSpeed37	88
22	eitanzaki	72
23	noam464	64
24	Kakolbus	48
25	Kim_Jong_eel	32
25	LexMakesHistory	32
27	pintsizedrogue	16
27	Merv__	16
27	Jimb0nat0r	16
30	xxPipperDipperxx	8
30	MousePlays	8
30	Deathkob	8
30	HellsSponge	8
30	Spacewardharpy7	8
30	starbits140	8
36	thewindmillman	2
