rank	username	minecraft:crafted/minecraft:black_banner
1	beeperbeeper5	1462
2	Lez_	1069
3	lordpipe	936
4	Eczbek	385
5	TheWickedBird	236
6	Hyp3rion_	228
7	TheShyPig	207
8	PazinGaming	184
9	Mahoose	177
10	luseis	168
11	Mattesco	163
12	Jimb0nat0r	156
13	skroobiez	148
14	Kowcio_	145
15	_Dean_123	140
16	rarrq	138
16	Werbe	138
16	Soplight	138
19	pintsizedrogue	129
20	500am	105
21	ConnorDanky_	101
22	seramalen	100
23	MakeHistory157	94
24	Studio4x32	77
25	Spacewardharpy7	76
26	Historical_Sand	64
27	Manaateee	58
28	_flud	55
29	Kakolbus	52
30	Merv__	48
30	LuvLuvLove	48
32	EMC_	47
33	joethahobo	46
34	kekhon	44
34	Winston_Ingram	44
36	Maenara	43
36	Eraxa	43
38	titanlax	41
39	SingedBread	35
40	eitanzaki	34
40	Blaiku	34
40	hermmm_	34
43	Blu3beast	30
44	Legendosh	29
45	Huwulling	24
45	AlexxO_o	24
45	EdGalbraith	24
48	MattieHD	23
49	teslawolf38	20
49	HellsSponge	20
51	Apollo_993	19
51	tuckerdoodle	19
51	TheSecondLord	19
51	noam464	19
55	T045RTY	18
56	Fildyr	17
57	Akoot_	16
57	cuddlyMonster	16
59	ECstardust	15
59	Touched_Bread	15
59	Kynigito	15
59	EcksD	15
63	Krowuss	14
63	_Karmaa	14
63	Enderxz3	14
66	Onennon	13
67	LexMakesHistory	12
67	Steelynan	12
69	craaaash	11
69	Myntsys	11
69	WyngGoy	11
72	ImpavidArcher	10
72	Blackberry1310	10
72	F_Uhre	10
72	StinkyDiplomat	10
76	BobDeBouwer1337	8
76	NameGenerat0r	8
76	FelixPSY375	8
76	jnp_gaming	8
80	Cache3	7
81	Bandito_Roamer	6
81	Dakar_	6
81	Yamdalorian	6
84	Mr_Byzantine	5
84	hm947	5
84	Stiar	5
84	Winklepicker279	5
84	CarltheCuck	5
84	Rocco_Lane	5
84	KeruNatsema	5
84	EveryonesUncle	5
84	doublemaki	5
84	__tomato	5
94	k_ce	4
94	Cryptacity	4
94	MrExplorer	4
94	2Stout	4
94	NotKaden_	4
94	burbankbuilder28	4
94	RobotMinion101	4
94	Kyrum2169	4
94	stellarjay	4
103	Alteriity	3
103	Kamflame	3
103	thewindmillman	3
103	pappaberg	3
103	censorsheep	3
103	Racengan	3
109	Groovy_MoonBird	2
109	TooManyDuck	2
109	tsohomie	2
109	AdvertisingMerc	2
109	cyrusisntgay	2
109	Fullut	2
109	Mookle96	2
109	LeauVox4921	2
109	xxPipperDipperxx	2
109	theonlymagikarp	2
109	shadowthemonkey	2
109	SuperPooch06	2
109	hanaryheatwave	2
109	Arceus1975	2
109	Snowflowe	2
109	Olib3ar	2
109	audiocracked	2
109	Groundler	2
109	FiguraDei	2
109	layabout100	2
109	pixelviolin	2
109	MC_Skribble	2
109	cichy096	2
132	CloroxBleach385	1
132	hollowww	1
132	SaucyDark	1
132	Reamdin	1
132	SquadMonster	1
132	Tiberonus	1
132	Nach0Bear	1
132	thescout7	1
132	r123moore	1
132	Covalents	1
132	Chromary	1
132	Hoid_the_Roamer	1
132	Rebytre	1
132	Drewen24	1
132	Lord_Jord	1
132	KlausVonStiglitz	1
132	ItsDeltaMC	1
132	Razzgriz	1
132	Kura2218	1
132	SSytex_X	1
132	miramyu	1
132	SammiWolfGirl	1
132	Luigipunch989	1
132	es0th	1
