rank	username	minecraft:crafted/minecraft:crafter
1	DisgruntledKoala	111
2	Buuck_	73
3	thewindmillman	71
4	Pumpkin_P_Patch	64
5	DJzombiehunter	42
6	Ezekson	25
7	pixelviolin	24
8	McCakeAh	4
9	11Brewer	3
9	Spaghettatron	3
11	beeperbeeper5	1
11	Secret_Canary	1
11	lpinfinity	1
11	U_Mos_	1
11	oscminus	1
11	LeCavalier636	1
11	Umprella	1
11	lordpipe	1
11	Enderxz3	1
