rank	username	minecraft:crafted/minecraft:chiseled_polished_blackstone
1	PigDab	582
2	noam464	512
3	Hyp3rion_	457
4	milltesco	315
5	CliffEmAll	277
6	Fullut	146
7	FishyBoy3811	99
8	Awyrlas	79
9	Lord_Jord	76
10	Billious	71
11	Huwulling	64
11	gamerlord1324	64
11	Werbe	64
14	Decaying_Lotus	63
15	FreakGenius	35
16	hanaryheatwave	33
17	ScootOfBoot	32
17	gustarlep	32
17	Jimb0nat0r	32
20	Hahaa_0	30
21	Kubeusz2010	25
22	Soplight	23
23	Lez_	22
24	pintsizedrogue	19
25	teslawolf38	18
26	Jonafrog99	16
27	6king6colt6	15
27	MAns_44	15
29	PlasticOtari	11
30	robertsnose	10
30	U_Mos_	10
30	Eon_57	10
30	Legendosh	10
34	diamondgolem35	9
35	k_ce	8
35	PazinGaming	8
35	_witch_craft_	8
35	JitteryJared2	8
35	Olib3ar	8
35	LuvLuvLove	8
35	Yamdalorian	8
42	HellsSponge	7
43	Crowman1	6
43	set67	6
45	pixelviolin	5
46	skroobiez	4
46	HUNTERmaun	4
46	Jekyll	4
46	Nicserso	4
50	BobDeBouwer1337	3
51	Mr_Byzantine	2
51	12Magner05	2
53	RebelAndroid	1
53	TheSecondLord	1
53	500am	1
53	craaaash	1
53	Mattesco	1
53	luseis	1
53	Druid95	1
53	ItsDeltaMC	1
53	Kowcio_	1
