rank	username	minecraft:crafted/minecraft:blue_glazed_terracotta
1	QuiCreans	856
2	HellsSponge	600
3	Hyp3rion_	132
4	Lez_	124
5	luseis	120
6	ImpavidArcher	108
6	Kowcio_	108
8	Bandito_Roamer	97
9	lordpipe	92
10	Blaiku	64
11	Barlycorn	48
12	titanlax	40
12	pixelviolin	40
14	Elastiq	36
14	hermmm_	36
16	_Virify_	24
16	EMC_	24
16	GLLogan2	24
16	Krowuss	24
16	Werbe	24
21	Eraxa	21
22	Yamdalorian	19
23	KarlKaek	17
23	Smashic	17
25	Parcc	16
25	PaperCanvas	16
27	Mr_Byzantine	12
27	joethahobo	12
27	excelsionprime	12
27	Pumpkin_P_Patch	12
27	Steelynan	12
27	PlasticOtari	12
33	Inchef	9
34	Prismyst	8
34	Kim_Jong_eel	8
34	Inbefour	8
34	StinkyDiplomat	8
34	Legendosh	8
39	Historical_Sand	7
39	noam464	7
41	Comma__	6
41	Bumpy419	6
43	YungMaki	5
44	Jimb0nat0r	4
45	beeperbeeper5	3
45	EcksD	3
47	TheSecondLord	1
47	Kubelz	1
47	ItsDeltaMC	1
47	mobunni	1
