rank	username	minecraft:crafted/minecraft:pink_terracotta
1	thewindmillman	19744
2	YungMaki	8872
3	Spacewardharpy7	2496
4	Inbefour	2232
5	Smoke____	1947
6	Rumpletaezer	1888
7	lordpipe	1536
8	EveryonesUncle	1344
9	Steelynan	984
10	beeperbeeper5	320
10	TheSecondLord	320
10	Legendosh	320
10	YoshikageBites	320
14	joethahobo	224
15	Toriankel	216
16	EMC_	204
17	MovingFish7	192
18	gcaisawesome	168
19	ImpavidArcher	132
20	mariominejedi	128
20	Kim_Jong_eel	128
20	wobn	128
23	Freak_Genius	120
23	PlasticOtari	120
25	pintsizedrogue	116
26	Blu3beast	104
27	theonlymagikarp	88
28	NameGenerat0r	72
28	mobunni	72
30	Marbz_	64
30	_Boipl_	64
30	HellsSponge	64
30	Blaiku	64
34	kekhon	48
35	Sral7	44
36	mwrty	40
36	noam464	40
36	duqboy	40
39	ProfessorBee	32
40	MeowMeowMcmuffin	24
40	KingMatthew506	24
42	Soplight	20
43	Merv__	16
43	AuroraValkyrie	16
43	SaucyDark	16
46	Mahoose	12
46	Hermanni__	12
46	Nicserso	12
49	Bandito_Roamer	8
49	Bumpy419	8
49	sxc_	8
49	StinkyDiplomat	8
49	ItsDeltaMC	8
49	bloomkieren	8
49	The_SlideV5	8
56	Comma__	6
57	pixelviolin	4
58	eitanzaki	3
