rank	username	minecraft:crafted/minecraft:cooked_chicken
1	PhantomsGhost_	2184
2	TheShyPig	1603
3	starbits140	1348
4	Arceus1975	1325
5	Groovy_MoonBird	932
6	Smoke____	923
7	Merv__	892
8	SkateboardR6	864
9	beeperbeeper5	764
10	chipklip	760
11	CarltheCuck	723
12	Enderslayerxz3	705
13	RebelAndroid	580
14	KermitTheKripple	517
15	set67	515
16	Historical_Sand	512
17	_3Stump_	480
18	Soplight	384
19	CliffEmAll	344
20	ROY4LE	324
21	FelixPSY375	320
22	rarrq	319
23	djancak	318
24	6king6colt6	308
25	KarlKaek	301
26	YungMaki	261
27	Inchef	256
27	TheEnderman548	256
29	Wooptey	224
30	_Dean_123	219
31	Rumpletaezer	216
32	Bandito_Roamer	204
33	Lowjinx	198
34	pumpfonzo	192
35	MattieHD	191
36	pintsizedrogue	189
36	CoryJJ	189
38	monky_irl	185
39	Legendosh	175
40	_Cloverbelle_	166
41	Blackberry1310	159
42	fluddd	149
43	bloodbiter	147
44	m_be9	146
45	NormanFetus	137
46	KingMatthew506	135
47	grislgrobl	130
48	Valoth	128
48	SLASHZEERA	128
48	Karetoko	128
48	Doom_melon	128
48	masskedman	128
48	WyngGoy	128
54	Akoot_	121
55	Werbe	115
55	_Bguette_	115
55	AssEatrAndLicker	115
58	Powowowow	107
59	SuperPooch06	100
60	FallenCorps	97
61	HellsSponge	96
62	Natty	91
63	El_Jalapeno	89
64	Donutt	86
64	The11thDoctor	86
66	OfficerAnvil	82
67	Frozil12	78
68	KlausVonStiglitz	77
68	Spenduh	77
70	kekhon	75
70	Quaintster	75
72	thgrocks	72
72	Inbefour	72
74	500am	70
75	GingerNeutron	69
76	Windo_licker	68
76	wrinkledpiglet	68
76	Ezekson	68
79	ratglock	63
79	MinttyFressh	63
81	numbra	62
82	BlancoFlaco	58
83	boog4loo	57
83	Kamflame10	57
85	Comma__	56
85	SpicyMeatballs	56
87	lcvezra	55
88	DanTheBuilderino	54
89	tartanboy	53
90	pZygh0st	50
91	peach0s	49
91	claivin	49
93	dopplexd	48
93	jacxhadow	48
93	Seindi	48
96	brrh	47
96	stellarjay	47
98	Paint	46
99	Moetis	45
100	AvaRosey	44
101	Russiancat1	42
101	Toriankel	42
103	Zaridey	41
103	smogfrog	41
105	seokjinnie	40
106	Kubelz	39
107	AlexStrange	38
107	Vetral1	38
107	Kryktal	38
110	abramgray	37
110	MrExplorer	37
110	AJplaysMC_	37
110	PabloGonza02	37
114	ItsAki_	36
115	Houstonion	35
115	MindyDooWho	35
115	bean__salad	35
115	Forcolp	35
119	youhjjhhhjj	34
119	r123moore	34
119	ediballbearings	34
122	Batman922	32
122	ItsJunoIGuess	32
122	mobunni	32
125	FungalCat	30
125	Meatlaugh	30
125	Blu3beast	30
125	LeeMcGee30	30
125	TheGameArchitect	30
130	Ilinca_Io	29
130	ehunt54	29
130	MadsNT	29
133	_Bruhtastic_	28
134	valiSW	27
135	Deguns123	26
135	kinas45y5	26
137	__TheNorseMan__	25
138	lotarp	24
138	Ssor69	24
138	Jokerman369	24
138	regulator75	24
142	Enigma0251	23
142	himak1	23
142	Snowflowe	23
145	dudcreeper	22
145	Mowelan	22
145	Tommhh	22
145	Ravenbie	22
145	xxPipperDipperxx	22
145	Paintz	22
145	faulder	22
152	Simon_Lowell	21
152	intropass	21
152	Freedrik	21
155	FirsTimeGamingTV	20
155	ProfessorBee	20
155	2Stout	20
155	Winklepicker279	20
155	NebulousBadger	20
155	Decaying_Lotus	20
161	Gingayy	19
161	ItzYaBoiPicard	19
161	whoaluv	19
161	Quincannon	19
165	Dedalus36	18
165	skelctal	18
165	censorsheep	18
165	RedcatVII	18
169	Kegradigm	17
169	EcksD	17
171	ccormacs	16
171	bbrothers4	16
171	Awyrlas	16
171	DermeinUser	16
171	jewbacaman	16
171	DarkS0L	16
171	Eraxa	16
171	striker90333	16
179	Incinere	15
179	bbrothers_5	15
179	a_smol_bean	15
182	SaltineDream	14
182	Ganongeek	14
182	Ardennes	14
182	CaptainSteve345	14
182	Sky_light_KING	14
182	bloomkieren	14
182	Cylni	14
182	zmpeg	14
190	fingerguns__	13
190	gaziter10	13
190	Dusk_95	13
190	OG_Songsee	13
190	xorompole	13
195	Tenns	12
195	tobinwilliams	12
195	KliBeast21	12
195	Kennyissleepy	12
195	Testificate_517	12
195	radioactv_jelly	12
195	babyjimmyneutron	12
195	Western_1	12
203	tsohomie	11
203	titanlax	11
203	LavenderBi1ch	11
203	ooga47	11
203	GoofyBread	11
203	MyNameIsDakar	11
203	SingedBread	11
203	Chuglyfe	11
203	UrbanPlanner1978	11
212	Swalt	10
212	Dyosy	10
212	SeverianTheLame	10
212	_8man	10
212	TheOnlyRake	10
217	HollieDaNugget	9
217	Vincent________	9
217	tramizu	9
217	SqltedWolfie	9
217	StanceTB	9
217	libbydalez	9
217	DrBalloon	9
217	KillerNekoRain	9
217	CaptainDeadBread	9
217	lOlmantschi	9
217	RohnJosin	9
217	CruncyIsTaken	9
217	valkam13	9
217	Katsuragi0243218	9
217	Jiminbub	9
217	misomon	9
217	majlin16	9
217	Xclax101	9
217	Typadopoulos	9
217	Hisiste	9
217	Chayula	9
217	sebastiensaborio	9
217	Erased_Identity	9
217	MusicMe1005	9
241	KingFaenor	8
241	RatatJuice	8
241	Sadeena	8
241	oreee	8
241	ashetrays	8
241	Neemuuri	8
241	Bumpy419	8
241	SpaggeDR	8
241	LuceImaginary	8
241	Cattoh	8
241	Skyle169	8
241	ADEXTV	8
241	DTwenty	8
241	ori0le	8
241	Bloo2406	8
256	Mr_Byzantine	7
256	ivorico	7
256	Counter_Switch	7
256	stopfive	7
256	thescout7	7
256	TheDankPlatypus	7
256	Ecplosive	7
256	Big_Nate_36	7
256	Benjii05	7
256	YahooScreen9000	7
256	Blackerstons	7
256	Pootis11	7
256	wezzzi	7
256	kiluaemc	7
256	NYJ	7
256	SolicitedPuma101	7
256	DarlaMeow	7
256	Sorenon	7
256	Ze_BaronKrigler	7
275	angwla	6
275	Begformurrcy	6
275	Shazzyling	6
