rank	username	minecraft:crafted/minecraft:smooth_sandstone_slab
1	Kim_Jong_eel	2436
2	Frozil12	1386
3	YungMaki	930
4	The_Quack_Dealer	816
5	Steelynan	738
6	CoffeeNoir	531
7	RebelAndroid	426
8	EcksDofficial	318
9	Groovy_MoonBird	300
10	Babushka0430	294
11	cedric72	282
12	NameGenerat0r	264
13	2Stout	246
14	Soplight	204
15	ApophisNova	180
15	Freak_Genius	180
15	MyNamaSheff	180
18	Inchef	144
19	joethahobo	138
20	Franco093	126
20	Onennon	126
22	Arceus1975	120
23	Merv__	112
24	eitanzaki	108
24	SexcMf	108
26	Werbe	96
27	Inbefour	90
28	groofles	84
29	Enderslayerxz3	82
30	ImpavidArcher	78
31	LeGold	72
32	_stets	68
33	John6970	60
33	andy_rex	60
33	XxCookiequeenxX	60
36	SteveCraftBlocks	54
36	MeowMeowMcmuffin	54
38	PhantomsGhost_	48
38	yoyoYoloMonke	48
40	PlasticOtari	38
41	500am	37
42	Cryptacity	30
42	mwrty	30
42	himak1	30
42	The_slideV3	30
42	WyngGoy	30
47	duqboy	24
47	chipklip	24
49	Jiminie	16
50	xXTheWolfmanXx	12
50	Mahoose	12
50	Blackberry1310	12
50	Fullut	12
54	NatrixxddxYT	6
54	Sleepy_Time_	6
54	rarrq	6
54	kekhon	6
54	M_Patata	6
54	TheShyPig	6
54	FreddyFart	6
54	HellsSponge	6
54	MasterNueve	6
54	The_SlideV5	6
64	UCP_TheKingK	2
64	AltnumberF4	2
