rank	username	minecraft:crafted/minecraft:nether_brick_slab
1	joethahobo	78302
2	YungMaki	35186
3	Kakolbus	2456
4	yulgur1	2358
5	Frozil20	1995
6	PigDab	1556
7	Hyp3rion_	1080
8	BobDeBouwer1337	1050
9	FreakGenius	834
10	Werbe	816
11	ciemacigans	708
12	_Nuf	612
13	pintsizedrogue	520
14	Decaying_Lotus	510
15	TheBiggestFeller	426
16	Aezekial	408
17	Groundler	396
18	BeardBois	378
19	OfficerAnvil	366
20	Eraxa	336
21	r123moore	322
22	Spacewardharpy7	312
23	CaptainDeadBread	306
23	Vorlice	306
25	burbankbuilder28	282
25	Soplight	282
27	k_ce	258
28	noam464	252
28	Shogunite	252
30	m_be9	246
31	Kamflame	222
32	Bandito_Roamer	216
33	Di_infiri	204
34	Nyxiom_	198
35	TheShyPig	194
36	MyNameIsJobo	180
37	NatrixxddxYT	138
38	rarrq	126
38	Tersea_	126
38	KliBeast21	126
38	El_Jalapeno	126
42	beeperbeeper5	116
43	Jindong	108
44	Blackberry1310	96
44	MAns_44	96
46	Freeman666	84
47	Lez_	78
47	ADEXTV	78
49	SaucyDark	72
49	set67	72
51	starbits140	62
52	Tolhart	60
52	RebytreGT	60
54	PazinGaming	54
54	Zedducius	54
56	Merv__	42
56	miramyu	42
58	SmashingPump	36
58	ImpavidArcher	36
58	Zythose	36
61	mwrty	30
61	stellarjay	30
61	EcksD	30
61	Biites	30
65	Kowcio_	26
66	CoffeeNoir	24
66	xxPipperDipperxx	24
66	DermeinUser	24
66	FlashMigma	24
66	_i_ERROR_i_	24
66	MrMeisterProper	24
72	teslawolf38	18
72	Chromary	18
72	ApophisNova	18
72	Manaateee	18
72	TheEnderMan548	18
72	MyNamaSheff	18
72	skitzxo	18
79	Reamdin	12
79	Vizzoid	12
79	bloodbiter	12
79	Deathkob	12
79	stavgod	12
79	obzii	12
85	myaccountwasgone	8
86	livingdaydreams	6
86	SOA1RR	6
86	Donutt	6
86	AlphaWolfPlaysMC	6
86	EdGalbraith	6
86	The_slideV3	6
86	HellsSponge	6
86	Blu3beast	6
86	Druid95	6
86	kyouma777	6
86	EngagedGrub41	6
86	taengoos	6
86	Iamthejo	6
86	Yamdalorian	6
100	Mr_Byzantine	2
100	EveryonesUncle	2
100	pixelviolin	2
100	Kijiki	2
