rank	username	minecraft:crafted/minecraft:iron_door
1	noam464	897
2	PigDab	633
3	Tyrannosplart	300
4	AdmiralSmoke	261
5	beeperbeeper5	234
6	Hyp3rion_	171
7	Huwulling	126
8	pintsizedrogue	114
9	FreakGenius	102
10	Di_infiri	99
11	Historical_Sand	84
12	Merv__	69
13	Spacewardharpy7	63
14	eitanzaki	60
15	joethahobo	48
16	Manaateee	42
16	mihimihimihi	42
18	Crowman1	39
19	Lez_	33
19	Xclax101	33
21	KarlKaek	30
21	Snowflowe	30
21	Ezekson	30
24	hm947	27
24	xxPipperDipperxx	27
24	Rumpletaezer	27
24	EveryonesUncle	27
24	Kowcio_	27
24	PlasticOtari	27
30	MoistMicrowave	24
30	m_be9	24
30	500am	24
30	Werbe	24
30	DanTheBuilderino	24
35	teslawolf38	21
35	Mahoose	21
35	SeverianOfUrth	21
35	lordpipe	21
35	ConnorDanky_	21
40	RoskobiOne	18
40	thewindmillman	18
40	censorsheep	18
40	cichy096	18
44	impossibleteapot	15
44	BumbleBeever	15
44	Soplight	15
44	AltnumberF4	15
48	EMC_	12
48	Jackster03	12
48	Nicky_H225	12
48	Inchef	12
48	r123moore	12
48	MustardDrinker	12
48	ApophisNova	12
48	Onennon	12
48	Maenara	12
48	wobn	12
48	wwwwinnebagoooo	12
48	YungMaki	12
48	KingMatthew506	12
48	MyNamaSheff	12
62	Comma__	9
62	Tiberonus	9
62	kekhon	9
62	crying_wolf_13	9
62	mwrty	9
62	lorpus	9
62	Awyrlas	9
62	Kubelz	9
62	ZeroAbyssTTV	9
62	Winklepicker279	9
62	Kynigito	9
62	cedric72	9
62	Jimi7hits	9
62	Lord_Zacler	9
62	luseis	9
62	Jaka_Saurus_715	9
62	Groundler	9
62	Barlycorn	9
62	IAmTheWalrus910	9
62	BlankityMcBlank	9
62	brofrickcheaters	9
62	fffMike	9
62	Hermanni__	9
62	smogfrog	9
86	MunkaKris	6
86	Bandito_Roamer	6
86	NatalieTW	6
86	Mr_Byzantine	6
86	dudcreeper	6
86	jspwn	6
86	SmashingPump	6
86	Tommhh	6
86	TooManyDuck	6
86	youhjjhhhjj	6
86	H72l9w	6
86	Sparky_KT	6
86	titanlax	6
86	12Magner05	6
86	Cortexia	6
86	Jokerman369	6
86	thescout7	6
86	PegLegPete93	6
86	supernecessary	6
86	eviltunix	6
86	ROY4LE	6
86	hcb238	6
86	Paintz	6
86	Bucscw24	6
86	legal_tax_evader	6
86	SirPiccardo	6
86	kars0n	6
86	Hoid_the_Roamer	6
86	F_Uhre	6
86	FishyBoy3811	6
86	yulgur1	6
86	Syropatathe	6
86	The_slideV3	6
86	_Karmaa	6
86	MAns_44	6
86	MightyWertu	6
86	Blaiku	6
86	MS_Pryxx	6
86	ProfessorDiaper	6
86	Hisiste	6
86	_Meow_Mix	6
86	Factoroni	6
86	WyngGoy	6
86	Ze_BaronKrigler	6
86	starbits140	6
86	Fizznut909	6
86	Nargotah	6
86	Skippeh	6
86	Quotary	6
86	Enderxz3	6
86	skrongus	6
86	Teebone15	6
138	RosaDoesMC	3
138	Jovaphobic	3
138	weezygator	3
138	k_ce	3
138	MuffinManzz	3
138	peachfuzz1267	3
138	_Huge_Male_	3
138	PhantomsGhost_	3
138	Cowison	3
138	soundad	3
138	FujiBS	3
138	Ailmast	3
138	shineh10	3
138	q_wq	3
138	KingFaenor	3
138	6king6colt6	3
138	I_Am_Mushkin	3
138	diamondgolem35	3
138	ssleepless	3
138	ImpavidArcher	3
138	Tolhart	3
138	Hpdinosaur	3
138	HollieDaNugget	3
138	livingdaydreams	3
138	jimintyy	3
138	Alteriity	3
138	Natty	3
138	AlazelTheReal	3
138	Rox_The_Box	3
138	Arteriana	3
138	ShedJr_	3
138	tsohomie	3
138	fr0stss	3
138	oreee	3
138	FjordVPN	3
138	FirsTimeGamingTV	3
138	chlorinex	3
138	Ozixar	3
138	Miroryk	3
138	xPixelRainx	3
138	Cryptacity	3
138	TheSecondLord	3
138	jushykins	3
138	BobDeBouwer1337	3
138	mattybeewrapss	3
138	bloodbiter	3
138	ThePoliteG	3
138	MrExplorer	3
138	MinttyFressh	3
138	catandmoose	3
138	MattieHD	3
138	TheThomas69	3
138	Megarboh	3
138	SoftSix	3
138	_Nuf	3
138	Fullut	3
138	slkiey	3
138	redikul	3
138	Z3braYTIL	3
138	Kamflame10	3
138	MindyDooWho	3
138	set67	3
138	4774	3
138	Scathra	3
138	NotMeanttoChange	3
138	Mewar	3
138	Xalithia	3
138	SUSUGAM	3
138	VanJosh	3
138	NoxxxxiS	3
138	eiC_	3
138	platinumzero	3
138	benediktine1	3
138	Bolete	3
138	CharlieButt	3
138	DermeinUser	3
138	TheDankPlatypus	3
138	M_Patata	3
138	prizm_	3
138	Karetoko	3
138	BlueZabu	3
138	CaptainSteve345	3
138	Bazongoman	3
138	swag_bro2004	3
138	Jackattack53	3
138	AJplaysMC_	3
138	whoaluv	3
138	Jonafrog99	3
138	Chromary	3
138	corpsecity	3
138	Arceus1975	3
138	andy_rex	3
138	Nyxiom_	3
138	_Boipl_	3
138	domagawha	3
138	Billious	3
138	The_Fulgurator	3
138	Donutt	3
138	BronkerBrum	3
138	oscminus	3
138	Voxin2K	3
138	Muffindrake	3
138	RohnJosin	3
138	RobotMinion101	3
138	ooga47	3
138	DeeDeeThonk	3
138	Moofyman	3
138	HyperCave	3
138	AlexxO_o	3
138	Dragonlfw	3
138	bearlystraight	3
138	TheShyPig	3
138	Cattoh	3
138	ougstur	3
138	Drewen24	3
138	Luminad3	3
138	Y_A_N_N_I	3
138	SaintJosie	3
138	Elastiq	3
138	Austinizzle	3
138	ADEXTV	3
138	Akoot_	3
138	GooseWithin	3
138	ILoveCarrot	3
138	wezzzi	3
138	TheSeismicDuck	3
138	audiocracked	3
138	masskedman	3
138	valkam13	3
138	Inbefour	3
138	Gryglu583	3
138	Living_Storms	3
138	Russiancat1	3
138	sufjanlover	3
138	Deathkob	3
138	KlausVonStiglitz	3
138	LexMakesHistory	3
138	Meatlaugh	3
138	DrGrant	3
138	Dooinfe	3
138	Quincannon	3
138	NameGenerat0r	3
138	claivin	3
138	ReflexCode	3
138	Methalox1	3
138	Blu3beast	3
138	ThatMan_Dave	3
138	fluddd	3
138	markaus77	3
138	Matorz	3
138	Toriankel	3
