rank	username	minecraft:crafted/minecraft:oxidized_cut_copper
1	luseis	388
2	EMC_	60
3	weabis	40
4	Mattesco	36
5	Apollo_993	24
6	pintsizedrogue	12
7	RoofTyler	8
8	PlasticOtari	4
