rank	username	minecraft:crafted/minecraft:light_blue_carpet
1	YungMaki	95331
2	Spacewardharpy7	67392
3	joethahobo	3096
4	heckface	2400
5	Rumpletaezer	1968
6	Smoke____	1156
7	HellsSponge	1020
8	noam464	591
8	Inbefour	591
10	TheSecondLord	585
11	RebelAndroid	576
12	Ezekson	474
13	beeperbeeper5	465
14	r123moore	384
14	CattSoup	384
16	SoftSix	333
17	Lord_Jord	288
18	Huwulling	201
19	12Magner05	198
20	EcksD	195
21	RoofTyler	192
21	ayamefag	192
23	Swexti	189
24	ConnorDanky_	127
25	Groundler	123
26	mwrty	117
27	500am	111
28	KingMatthew506	109
29	Kowcio_	99
30	Frozil20	96
30	ImpavidArcher	96
30	Cocoamallows	96
30	RealGroot	96
30	Njensen7	96
35	Blackberry1310	75
35	TechnoNinja64	75
37	xxPipperDipperxx	71
38	Groovy_MoonBird	63
38	Mahoose	63
40	Lez_	60
41	pintsizedrogue	56
42	RoskobiOne	48
42	slkiey	48
42	Di_infiri	48
42	Snowflowe	48
42	Fakiuss	48
42	Sral7	48
48	Bandito_Roamer	36
49	rarrq	30
49	kekhon	30
49	_Dean_123	30
49	TheShyPig	30
53	Merv__	27
54	Fullut	21
55	MinttyFressh	18
55	LilLizardWizard	18
57	FishyBoy3811	15
57	Akoot_	15
57	AuroraSkies	15
57	xzvu	15
61	eitanzaki	12
61	Reamdin	12
61	nocturne78	12
61	InfernalMound	12
61	MattieHD	12
61	thewindmillman	12
61	lordpipe	12
61	lcvezra	12
61	PlasticOtari	12
70	Myszoaz	9
70	titanlax	9
70	burbankbuilder28	9
70	pappaberg	9
70	Eraxa	9
70	SpacesickPrism	9
70	2bolx_	9
77	FazeObama69	6
77	hm947	6
77	LeauVox4921	6
77	Hiryu27	6
77	NomadicRobin_	6
77	SSytex_X	6
77	Enderxz3	6
84	SaucyDark	3
84	ShedJr_	3
84	Hyp3rion_	3
84	Kokeech	3
84	audiocracked	3
84	Quaintster	3
84	censorsheep	3
84	Blaiku	3
84	djancak	3
84	Hermanni__	3
