rank	username	minecraft:crafted/minecraft:black_glazed_terracotta
1	lillips	740
2	Smoke____	468
3	_Virify_	404
4	ImpavidArcher	264
5	ooga47	248
6	TheShyPig	167
7	noam464	137
8	AnnieBathory	128
9	Blaiku	64
9	Spacewardharpy7	64
11	joethahobo	48
12	Inchef	24
13	himak1	12
13	Di_infiri	12
13	Hermanni__	12
13	Quotary	12
17	beeperbeeper5	8
17	Dan_Scha	8
17	KnightmareD	8
17	Inbefour	8
17	h2p_emrld	8
22	titanlax	7
23	YungMaki	4
23	Soplight	4
25	Bumpy419	2
25	Miko_Fullbuster	2
27	Bandito_Roamer	1
27	ROY4LE	1
27	Lord_Jord	1
