rank	username	minecraft:crafted/minecraft:light_gray_terracotta
1	thewindmillman	18920
2	YungMaki	6280
3	joethahobo	2772
4	weabis	1728
5	EcksD	1360
6	xolstoi	1104
7	PlasticOtari	680
8	Rumpletaezer	640
8	Jimb0nat0r	640
8	Sral7	640
11	Smoke____	582
12	kekhon	504
13	Arceus1975	480
13	Lord_Jord	480
15	ImpavidArcher	460
16	Reamdin	448
17	thescout7	416
18	eitanzaki	396
19	Huwulling	324
20	bearlystraight	256
21	pintsizedrogue	248
22	Hiryu27	176
23	luseis	164
24	Merv__	144
24	Tommhh	144
26	Bandito_Roamer	136
27	Onennon	128
27	ConnorDanky_	128
29	Mr_Byzantine	112
30	StinkyDiplomat	80
31	Lez_	64
31	SellyZ	64
31	Marbz_	64
31	Barlycorn	64
31	lordpipe	64
31	Biites	64
37	gcaisawesome	56
38	beeperbeeper5	48
39	Awyrlas	40
40	_Huge_Male_	32
40	The_SlideV5	32
42	HellsSponge	28
43	teslawolf38	24
43	EMC_	24
43	Mahoose	24
43	titanlax	24
47	pixelviolin	17
48	Karbl	16
48	ItsDeltaMC	16
50	noam464	14
51	Frozil20	12
51	Di_infiri	12
53	Crowman1	8
53	Inbefour	8
53	duqboy	8
53	Kowcio_	8
57	Apollo_993	7
