rank	username	minecraft:crafted/minecraft:andesite_slab
1	joethahobo	13706
2	_Dean_123	1738
3	set67	1278
3	Kakolbus	1278
5	Lutres_Torane	1152
6	Smoke____	826
7	EcksDofficial	650
8	Hyp3rion_	452
9	Bumpy419	388
10	IdeallyGrey	384
11	TheShyPig	342
12	Lord_Jord	318
13	Hermanni__	281
14	FishyBoy3811	270
15	Steelynan	264
16	ogoa	198
17	r123moore	186
18	PortlyPete69	184
19	EveryonesUncle	156
20	Historical_Sand	144
21	gcaisawesome	138
21	Nycteus_	138
23	Legendosh	132
24	ReyTheLegend	128
25	Rebytre	126
25	TheTrueClipse	126
25	Frozil12	126
25	ElectricDragon81	126
25	EcksD	126
30	TheSecondLord	114
31	Ssor69	108
32	Cryptacity	102
32	The_slideV3	102
34	Jackattack53	90
35	SpaceGrenadier	86
36	CharlieButt	84
37	Mahoose	74
38	Quotary	68
39	m_be9	66
40	Inchef	60
40	Spacewardharpy7	60
40	Ezekson	60
43	pintsizedrogue	56
44	Racengan	54
44	ayamefag	54
46	Freak_Genius	48
46	GravitySaint	48
46	YoshikageBites	48
49	ImpavidArcher	42
49	Flores991	42
49	Inbefour	42
49	Meatlaugh	42
49	anbbang	42
54	Xalithia	36
54	ApophisNova	36
54	Eraxa	36
54	MyNamaSheff	36
58	Groovy_MoonBird	30
58	Ardennes	30
58	GLLogan2	30
58	Stiar	30
58	Purplehere	30
58	XxCookiequeenxX	30
58	fkGrim	30
58	SkateboardR6	30
58	07shiny	30
58	Moetis	30
58	trexgb	30
69	diamondgolem35	24
69	Malorn_Aetherius	24
69	kekhon	24
69	LibertyMutual	24
69	MyNameIsDakar	24
69	annoyingenderman	24
75	SquadMonster	20
76	Crowvens	18
76	KingFaenor	18
76	TheMaster972	18
76	MonitorLizards	18
76	Cyntrical	18
76	mawileite	18
76	MineCryptian	18
83	xxPipperDipperxx	14
83	Jiminie	14
85	maliraspberry	12
85	Natty	12
85	IWorkAtIkea	12
85	Fullut	12
85	Shiirazuku	12
85	Akoot_	12
85	Quincannon	12
85	Blu3beast	12
85	Kowcio_	12
85	tartanboy	12
95	MunkaKris	6
95	Merv__	6
95	CoffeeNoir	6
95	beeperbeeper5	6
95	TinMaster	6
95	Notta	6
95	Comma__	6
95	SteveCraftBlocks	6
95	Scathra	6
95	Covalents	6
95	FetteMutter	6
95	Winklepicker279	6
95	Chromary	6
95	burbankbuilder28	6
95	cedric72	6
95	Deerfoot	6
95	Bloo2406	6
95	fluddd	6
95	Barlycorn	6
95	Matorz	6
95	Warlord324	6
95	Hisiste	6
95	MakeHistory157	6
95	Shin69	6
95	starbits140	6
95	Soplight	6
95	Sheldor097	6
95	Nargotah	6
95	MilleGrug	6
95	Eczbek	6
95	smogfrog	6
95	FelixPSY375	6
95	Enderslayerxz3	6
128	Sleek_Storm_721	2
128	Blackberry1310	2
128	KeruNatsema	2
