rank	username	minecraft:crafted/minecraft:prismarine_stairs
1	CliffEmAll	232
2	h2p_emrld	204
3	Ezekson	200
4	LittleBug562	192
4	set67	192
6	hm947	166
7	Vellu21	144
8	Enderxz3	139
9	Powowowow	136
10	joethahobo	96
10	Bumpy419	96
12	lizardfightclub	84
12	AdmiralSmoke	84
14	ImpavidArcher	72
14	Notta	72
16	Hiryu27	64
17	corvidpartyfor6	56
18	gcaisawesome	48
19	eitanzaki	44
20	Vorlice	40
20	xolstoi	40
22	weabis	32
23	PortlyPete69	28
24	PlasticOtari	26
25	Merv__	20
25	Blu3beast	20
27	ratglock	16
27	TheSecondLord	16
29	FreakGenius	14
30	The_slideV3	12
30	Groundler	12
30	Steelynan	12
33	Legendosh	9
34	Mr_Byzantine	8
34	EMC_	8
34	rarrq	8
34	poopybh	8
34	GooseWithin	8
34	2blox_	8
40	Incinere	4
40	noam464	4
40	Di_infiri	4
40	Spacewardharpy7	4
44	beeperbeeper5	2
45	Mahoose	1
45	Kowcio_	1
