rank	username	minecraft:crafted/minecraft:oak_planks
1	Hyp3rion_	332899
2	noam464	139342
3	Spacewardharpy7	94284
4	HellsSponge	85478
5	thewindmillman	84873
6	Di_infiri	76550
7	joethahobo	45376
8	EveryonesUncle	40656
9	mihimihimihi	39476
10	thescout7	38744
11	Legendosh	37144
12	Mahoose	35084
13	eitanzaki	33607
14	Marbz_	32028
15	Lez_	31774
16	YungMaki	28980
17	EcksD	28338
18	_Virify_	27836
19	Jackattack53	27026
20	Werbe	25088
21	EMC_	24768
22	Frozil20	24342
23	m_be9	23558
24	beeperbeeper5	22817
25	pintsizedrogue	22800
26	El_Jalapeno	22112
27	PigDab	21732
28	Lord_Jord	21516
29	Jimb0nat0r	21308
30	Smoke____	21228
31	PlasticOtari	20748
32	_Dean_123	20746
33	Dogcorn69420	19340
34	rarrq	18395
35	Alteriity	17721
36	Skylord_Luke	17260
37	lordpipe	16516
38	Inbefour	15464
39	gcaisawesome	15322
40	Kowcio_	15140
41	2Stout	14968
42	Mr_Byzantine	14816
43	Kakolbus	14556
44	Awyrlas	14365
45	Z3braYTIL	14080
46	TheShyPig	13744
47	luseis	13684
48	fffMike	13124
49	TheThomas69	12140
50	Racengan	11944
51	gusstationwerker	11376
52	Enderxz3	11000
53	500am	10876
54	FreakGenius	10873
55	Hermanni__	10676
56	yulgur1	10648
57	Bumpy419	10564
58	PhantomsGhost_	10324
59	vandmanden	10162
60	PlzNoBM	10114
61	AlexxO_o	9822
62	PazinGaming	9820
63	Cocoamallows	9799
64	Elastiq	9628
65	Mewar	9552
66	ProfessorBee	9426
67	RealGroot	9373
68	tsitrawhy	9210
69	CoffeeNoir	9068
70	Merv__	9029
71	Ezekson	8952
72	Blackberry1310	8914
73	KingMatthew506	8706
74	Smashic	8634
75	crying_wolf_13	8356
76	CattSoup	8328
77	Rumpletaezer	8192
78	mwrty	8188
79	ApophisNova	7958
79	MyNamaSheff	7958
81	Steelynan	7860
82	bloodbiter	7782
83	WyngGoy	7760
84	jnp_gaming	7744
85	non089	7709
86	Hisiste	7696
87	Iamthejo	7644
88	ROY4LE	7609
89	AlphaWolfPlaysMC	7560
90	MightyWertu	7466
91	Njensen7	7460
92	xxPipperDipperxx	7456
93	Winklepicker279	7436
94	Sheldor097	7404
95	Akoot_	7348
96	Groovy_MoonBird	7322
97	ShedJr_	7295
98	eiC_	7216
99	_Karmaa	7207
100	LordSpeed37	7200
101	ConnorDanky_	7050
102	DanTheBuilderino	6807
103	Darkgon	6732
104	Blaiku	6716
105	__tomato	6664
106	Nycteus_	6636
107	RyuNeko932000	6612
108	Fullut	6497
109	_Nuf	6416
110	Megarboh	6400
111	T045RTY	6384
112	CharlieButt	6312
113	StinkyDiplomat	6269
114	Snowflowe	6156
115	Historical_Sand	6124
116	Sral7	6120
117	Jimi7hits	6097
118	Inchef	5880
118	Onennon	5880
120	Warlord324	5816
121	Zoeyfortnite	5661
122	Esme_1	5632
123	Kyrum2169	5584
124	Cowison	5432
125	SmashingPump	5392
126	masskedman	5380
127	ssleepless	5360
128	wwwwinnebagoooo	5312
129	AuroraSkies	5283
130	Ssor69	5168
131	Arceus1975	5146
132	Jovaphobic	5120
133	RebelAndroid	5091
134	Huwulling	5082
135	Zaridey	5060
136	ThiccExotic	5028
137	set67	4955
138	Xclax101	4924
139	BumbleBeever	4916
140	TheSecondLord	4904
141	Malorn_Aetherius	4896
142	iSammael	4864
143	CollinMH06	4863
144	emrekn	4824
145	NomadicRobin_	4750
146	NatalieTW	4735
147	Covalents	4663
148	mariominejedi	4539
149	MixerDixer	4456
150	SpacesickPrism	4384
151	Groundler	4374
152	youhjjhhhjj	4364
153	Vizzoid	4320
154	SkateboardR6	4256
155	MilleGrug	4204
156	F_Uhre	4176
157	TheDankPlatypus	4136
158	6king6colt6	4104
159	GoofySilly	4068
160	07shiny	4032
161	Eczbek	4016
162	The_slideV3	3976
163	GingerNeutron	3908
164	anbbang	3888
165	Rebytre	3880
166	ogoa	3864
167	MinttyFressh	3768
168	binman420	3756
169	kekhon	3740
170	Syropatathe	3715
171	OffWithTheirHead	3684
172	teslawolf38	3664
173	LeauVox4921	3628
174	MousePlays	3588
175	TheSeismicDuck	3576
176	sxc_	3480
177	Blu3beast	3472
178	XboxPanda	3468
179	jacxhadow	3452
180	SammiWolfGirl	3434
181	burbankbuilder28	3412
182	claivin	3376
183	FishisTTV	3372
184	Kateesaur	3368
