rank	username	minecraft:crafted/minecraft:bone_block
1	Hyp3rion_	253164
2	Spacewardharpy7	94342
3	thewindmillman	85080
4	noam464	56499
5	Blaiku	45608
6	joethahobo	31880
7	hanaryheatwave	22468
8	EcksD	22073
9	pintsizedrogue	21086
10	lordpipe	20804
11	luseis	19631
12	_Dean_123	17457
13	Yamdalorian	16636
14	lpinfinity	16539
15	EMC_	14510
16	MightyWertu	12419
17	HellsSponge	9974
18	Pumpkin_P_Patch	9352
19	pixelviolin	8581
20	Jimb0nat0r	6987
21	Lez_	5716
22	Kowcio_	5585
23	Deerfoot	5291
24	j5ylim	5205
25	12Magner05	5185
26	Manaateee	4907
27	TechnoNinja64	4862
28	Mr_Byzantine	4518
29	SvenskaHugo	4352
30	Werbe	4114
31	Snowflowe	4057
32	Kakolbus	3825
33	Soplight	3722
34	Mahoose	3564
35	Legendosh	3312
36	Jackattack53	3261
37	PlasticOtari	3135
38	doublemaki	3009
39	Bumpy419	2859
40	Di_infiri	2818
41	craaaash	2767
42	EveryonesUncle	2719
43	TheShyPig	2659
44	PigDab	2483
45	Groovy_MoonBird	2468
46	Frozil20	2443
46	FreakGenius	2443
48	shadowthemonkey	2442
49	eitanzaki	2381
50	Quotary	2241
51	Spaghettatron	2221
52	Lord_Jord	2047
53	TheOuterCore	1931
54	Skylord_Luke	1874
55	Marbz_	1800
56	IamCL4SSY	1757
57	TheWickedBird	1739
58	GravitySaint	1693
59	Buuck_	1677
60	MakeHistory157	1600
61	m_be9	1526
62	tuckerdoodle	1367
63	legal_tax_evader	1284
64	sp00ky_ghost977	1278
65	PazinGaming	1224
66	MattieHD	1219
67	UrbanPlanningEx	1099
68	AuroraValkyrie	1098
69	StinkyDiplomat	1091
70	excelsionprime	1079
71	vandmanden	1045
72	Groundler	1018
73	Apollo_993	960
74	NotMeanttoChange	947
75	ooga47	944
76	McCakeAh	888
77	Segotep999	869
78	_Virify_	858
79	AspenLightVT	852
80	500am	810
81	HesDemonPants	798
82	k_ce	773
83	censorsheep	761
84	Soul_Atreus	729
85	Blackberry1310	700
86	ApophisNova	686
86	cutelilreno	686
86	MyNamaSheff	686
89	PortlyPete69	668
90	Fullut	655
91	The_SlideV5	639
92	miramyu	608
93	RobotMinion101	597
94	Arceus1975	575
95	Rumpletaezer	574
96	Lorcout	537
97	DrowsyOracle	530
98	Inchef	523
99	El_Jalapeno	510
100	XxCookiequeenxX	494
101	powercas_gamer	491
102	Paul_Katan	478
103	Felenov	476
104	Sral7	459
105	mihimihimihi	456
106	Merv__	396
107	AshleeCW	384
108	Iamthejo	368
109	set67	362
110	ProbablyNick	358
111	Incinere	348
111	OfficerAnvil	348
113	NameGenerat0r	345
114	taengoos	341
115	royal_2	330
115	ROY4LE	330
117	ediballbearings	326
118	WET_WET_WET	319
119	_Karmaa	316
120	beeperbeeper5	313
121	eviltunix	286
122	bl1ss0	278
123	Inbefour	266
124	Rocco_Lane	256
125	Rich_Kat	234
126	Truckoss	226
127	Niklas20114552	222
128	TwinTowerV2	217
129	xxPipperDipperxx	215
129	es0th	215
131	Quaintster	213
132	rarrq	207
132	kekhon	207
134	Hahaa_0	203
135	CalebDHawk	202
136	DJzombiehunter	198
137	Hiryu27	196
138	soundad	191
139	ShedJr_	186
140	SexcMf	170
141	ConnorDanky_	169
142	Blu3beast	168
143	Niterux	150
143	Jimi7hits	150
145	JayToe	149
146	aec9	147
147	Euclidoris	138
147	Maenara	138
149	Caribouse	137
150	Mewar	131
151	Akoot_	129
152	That_tech_head	128
153	Airem_Core	117
154	2blox_	113
155	burbankbuilder28	109
156	fr_ser	107
157	Xalithia	106
158	will2690	104
159	yheece	98
160	Bobby808	96
161	himak1	95
162	Reneedium	90
163	FirsTimeGamingTV	89
164	Wooptey	86
165	ImDisconnected_	85
166	ToxicHauntling	83
167	Saltymart	82
168	Malorn_Aetherius	80
169	bigstankyy	73
170	SteveCraftBlocks	72
171	MovingFish7	71
172	emreknugrlu	68
173	TheSecondLord	67
174	Hisiste	65
175	CrateOfBoxes	64
175	Hoid_the_Roamer	64
175	layabout100	64
175	TheOnlyRake	64
179	MangoSalad316	59
180	MyMawgDonaldsGon	57
181	CLG_Kata	55
181	Nicserso	55
183	Eraxa	47
184	philandr	43
185	monky_irl	42
185	00000000-0000-0000-0009-01fe065167f0	42
187	KomputerDude	41
188	mariominejedi	40
189	Mattesco	38
190	jacxhadow	36
191	BlueZabu	35
192	titanlax	34
193	Steelynan	32
194	The_slideV3	31
195	Juansinmiedo18	30
196	Historical_Sand	29
197	Mr_Sun15	28
197	SSytex_X	28
199	CornOnTheCobalt	27
200	Rebytre	23
200	PaperCanvas	23
202	BPTY4618	22
202	M_Patata	22
202	Druid95	22
202	MasterNueve	22
206	MrExplorer	21
207	Deathkob	20
207	Dogcorn69420	20
209	redikul	19
209	Njensen7	19
211	DinoDoctor_	14
212	Onennon	12
212	EdGalbraith	12
214	ARandomHedge	11
214	Moofyman	11
214	halfbakedlasagna	11
217	Awyrlas	10
218	teslawolf38	9
218	ImpavidArcher	9
218	Moss_2006	9
221	Tersea_	8
222	fkGrim	5
223	SaucyDark	4
223	Touched_Bread	4
225	RebelAndroid	3
225	djancak	3
227	hijeatsdirt	2
227	Kubelz	2
229	ssleepless	1
229	Alteriity	1
229	SuperPooch06	1
229	ScootOfBoot	1
229	ReSynced	1
229	aldplaysmc	1
229	JESS_THE_RERE	1
229	Ezekson	1
229	11Brewer	1
229	cichy096	1
229	jnp_gaming	1
