rank	username	minecraft:crafted/minecraft:cherry_planks
1	Lez_	7936
2	StarCookiees_	1580
3	OreTheBear	1128
4	EveryonesUncle	796
5	beeperbeeper5	684
6	Alteriity	620
7	Apollo_993	608
8	k_ce	494
9	Werbe	256
10	Krowuss	252
11	icim	244
12	Archsam	240
12	Mr_Sun15	240
14	Reneedium	216
15	Enderxz3	192
16	oscminus	176
17	Kowcio_	148
18	lunathelemon	112
19	pintsizedrogue	104
20	Merv__	80
21	Fullut	76
22	Jimb0nat0r	64
23	ECstardust	60
24	lordpipe	52
24	Steelynan	52
26	MineMaster0012	40
27	powercas_gamer	36
27	Jackattack53	36
29	Myntsys	20
30	luseis	12
30	TheBananaKat	12
30	xolstoi	12
33	hanaryheatwave	4
