rank	username	minecraft:crafted/minecraft:mushroom_stew
1	Yamdalorian	224
2	Werbe	105
3	m_be9	43
4	bloodbiter	40
5	gabukun_	36
6	Decaying_Lotus	30
7	Frozil20	29
8	carpet4_69	24
8	marumochis	24
10	corpsecity	21
11	Ananas55	19
11	MinerDec	19
11	wfk7	19
14	dopplexd	17
14	kekhon	17
14	oscminus	17
14	claivin	17
14	djancak	17
19	PhantomBionic	16
19	Koffeeinz	16
19	Freedrik	16
22	Sna_Ke	15
22	Blackberry1310	15
22	censorsheep	15
25	500am	13
25	ItzYaBoiPicard	13
25	LunarRedPanda	13
28	Optiprimus	12
29	Fast_Turtle	11
29	XxCookiequeenxX	11
31	dudcreeper	10
31	ebanana	10
33	Kubelz	9
33	CalvinCandie17	9
33	WYFYoyo	9
36	PhantomsGhost_	8
36	boysnort	8
36	Tiberonus	8
36	SharpDev	8
36	mimbo1211	8
36	legal_tax_evader	8
36	WET_WET_WET	8
36	JESS_THE_RERE	8
36	critNoxx	8
36	babyjimmyneutron	8
46	No_Bena	7
46	Cryptacity	7
46	xxPipperDipperxx	7
49	KomputerDude	6
49	bee_gorl	6
51	Napoleonpancake	5
51	xFaiithyX	5
51	mariominejedi	5
51	tobinwilliams	5
51	Chuvacevedo	5
51	Ideltic	5
51	Akoot_	5
51	xzvu	5
51	smogfrog	5
60	Batoser	4
60	Groovy_MoonBird	4
60	openatheclose	4
60	ciemacigans	4
60	ouija_	4
60	trixterrx	4
60	F_22_	4
60	luvRust	4
60	Onennon	4
60	F_Uhre	4
60	skelctal	4
60	Pootis11	4
60	EveryonesUncle	4
60	AvaRosey	4
60	Lightfulwolf	4
60	OkguyDan	4
60	Western_1	4
60	FedirSpectator	4
78	j4ck811	3
78	_Razaria	3
78	livingdaydreams	3
78	samtrid	3
78	SpicyMeatballs	3
78	Windo_licker	3
78	HellsSponge	3
78	FreakGenius	3
78	ComplexSquirrel	3
87	Ninzyyy	2
87	_darky1_	2
87	royal_2	2
87	ROY4LE	2
87	ImDisconnected_	2
87	Project_MKBRD	2
87	0jona0	2
87	SingedBread	2
87	Toriankel	2
87	Faithhfully	2
87	Kowcio_	2
87	CLUBN2	2
87	Enderxz3	2
87	jnp_gaming	2
101	pintsizedrogue	1
101	k_ce	1
101	ECstardust	1
101	Mahoose	1
101	MSK__	1
101	beeperbeeper5	1
101	FirsTimeGamingTV	1
101	rarrq	1
101	roxycherry	1
101	Malorn_Aetherius	1
101	ashetrays	1
101	corvidpartyfor6	1
101	Fullut	1
101	excelsionprime	1
101	mwrty	1
101	shadowthemonkey	1
101	thewindmillman	1
101	Manaateee	1
101	Blu3beast	1
101	Eraxa	1
101	MelaninStealer	1
101	pixelviolin	1
101	VillagerHuh	1
101	miramyu	1
101	RaxXEe	1
101	Coolblubird	1
101	taengoos	1
101	Ezekson	1
101	Kiki_Majiki	1
101	TechnoNinja64	1
101	Jimb0nat0r	1
