rank	username	minecraft:crafted/minecraft:brick
1	joethahobo	111474
2	Legendosh	46061
3	EveryonesUncle	44076
4	luseis	32886
5	Steelynan	29229
6	YungMaki	29090
7	noam464	23290
8	AdmiralSmoke	22211
9	Smashic	19165
10	Di_infiri	17255
11	Merv__	16849
12	TheShyPig	15543
13	SingedBread	13053
14	Mahoose	11917
15	Snowflowe	11880
16	SaintJosie	11574
17	Alteriity	10876
18	Huwulling	10850
18	Kowcio_	10850
20	Historical_Sand	10740
21	Spacewardharpy7	9981
22	beeperbeeper5	9789
23	Kakolbus	8138
24	burbankbuilder28	7807
25	weabis	7488
26	Soplight	7262
27	Enderxz3	7184
28	Ezekson	7013
29	Frozil20	6996
30	LeauVox4921	6955
31	EcksD	6932
32	PlasticOtari	6403
33	Dogcorn69420	6400
34	TheSecondLord	6310
35	EMC_	6238
36	Lord_Jord	5987
37	Elastiq	5934
38	thewindmillman	5930
39	Sral7	5500
40	Comma__	5262
41	Quotary	4853
42	FreakGenius	4717
43	Werbe	4716
44	_stets	4640
45	eitanzaki	4345
46	NameGenerat0r	3951
47	ConnorDanky_	3944
48	ImDisconnected_	3820
49	shdesolt	3764
50	AlexxO_o	3348
51	Onennon	3231
52	xolstoi	3204
53	gcaisawesome	3108
54	Skylord_Luke	3034
55	ImpavidArcher	2996
56	RebelAndroid	2974
57	PigDab	2880
58	pixelviolin	2800
59	lordpipe	2644
60	pintsizedrogue	2611
61	__tomato	2240
62	Blaiku	2198
63	himak1	2100
64	Mr_Byzantine	2020
65	Mattesco	1890
66	500am	1860
67	kekhon	1772
68	SvenskaHugo	1738
69	_Bguette_	1682
70	NomadicRobin_	1678
71	Felenov	1662
72	ReyTheLegend	1640
73	Eraxa	1625
74	ApophisNova	1584
74	MyNamaSheff	1584
76	Shin69	1580
77	Dakar_	1567
78	sp00ky_ghost977	1550
79	Tyrannosplart	1539
80	Nicserso	1506
81	SpacesickPrism	1504
82	fkGrim	1496
83	m_be9	1488
84	_Huge_Male_	1465
85	2Stout	1387
86	Tommhh	1372
86	xxPipperDipperxx	1372
88	SaucyDark	1314
89	MakeHistory157	1306
90	KarlKaek	1289
91	_3Stump_	1150
92	John6970	1114
93	Barlycorn	1112
94	JohnPrice	1095
95	The_slideV3	1077
96	Fullut	1076
97	KermitTheKripple	1011
98	Skippeh	992
99	301851	980
99	Inbefour	980
101	xzvu	961
102	NieToksikpl	960
102	SteveCraftBlocks	960
102	Deerfoot	960
105	Akoot_	958
106	Pineapplesugr	947
107	El_Jalapeno	924
107	lcvezra	924
109	dartwaffle	920
110	thescout7	916
111	KingMatthew506	904
112	ougstur	893
113	epiksk8erduck	881
114	Corbsman	856
115	PegLegPete93	840
116	DTwenty	832
117	_Virify_	800
117	SexcMf	800
119	Blackberry1310	755
120	cheerytomato	731
121	anbbang	722
122	Raltemoxitonica	703
123	Cowison	662
124	Rumpletaezer	660
125	Groovy_MoonBird	656
126	excelsionprime	650
127	Jackattack53	641
128	cog	640
129	xorompole	638
130	peach0s	618
131	Notta	613
132	Jordan_R	608
133	set67	604
134	CoffeeNoir	601
135	Apollo_993	600
136	stuy9	586
137	MindyDooWho	576
138	CaptainDeadBread	506
139	jnp_gaming	498
140	NNikitas	484
141	AmbroseForLife	480
142	TakeThis2UrGrave	472
143	CueMix	460
144	Russiancat1	432
145	MrExplorer	428
146	monolu	420
147	Lez_	401
148	MAns_44	400
149	eviltunix	388
150	07shiny	385
151	TooManyDuck	384
151	Winklepicker279	384
153	wwwwinnebagoooo	379
154	_Dean_123	358
155	ROY4LE	357
156	Hyp3rion_	354
157	HellsSponge	351
158	DarkS0L	350
159	Natty	340
160	dudcreeper	328
160	r123moore	328
162	Marbz_	327
163	nattybears	320
163	TAKrules	320
163	Doom_melon	320
163	wezzzi	320
167	censorsheep	317
168	zmpeg	316
169	BobDeBouwer1337	310
170	Bloo2406	308
171	bigstankyy	300
172	RatatJuice	296
172	FGamerJ	296
174	JETrotter	292
175	hanaryheatwave	290
175	OfficerAnvil	290
177	Miroryk	287
178	StinkyDiplomat	281
179	bloomkieren	277
180	Roikdean	276
180	Xclax101	276
182	DemTechAlpha	269
183	Njensen7	268
184	Jiminbub	265
185	wobn	262
186	RobotMinion101	260
187	Kubelz	257
188	AgressiveEggdog	256
188	CharlieButt	256
190	Manaateee	254
191	Fuhrer_Teemo	234
192	Deguns123	228
193	Malorn_Aetherius	224
194	Gemstuff	216
194	ShedJr_	216
196	Cryptacity	212
197	PhantomsGhost_	210
198	titanlax	200
199	seanitoo	196
200	shrimp_flips	192
201	Optiprimus	191
202	ewsophie	188
203	Donutt	184
203	MrMeisterProper	184
205	Nekomin0	180
206	Meatlaugh	176
207	420BreadLizard	172
208	MunkaKris	170
208	SuperPooch06	170
210	Eraza	168
211	Sleek_Storm_721	164
211	diamondgolem35	164
211	TableTim	164
214	BodaciousCake	160
214	MattieHD	160
214	IamCL4SSY	160
217	Groundler	152
218	zeki123	151
219	CalebDHawk	147
220	Valoth	144
221	Maenara	140
221	Soap_Bender	140
223	TheDiamondCG	139
224	ogoa	136
225	SlowMoNinja1994	135
226	__Fanda__	132
226	MyNameIsJobo	132
226	Quaintster	132
229	Jovaphobic	128
229	Bandito_Roamer	128
229	RoskobiOne	128
229	ECstardust	128
229	TheThomas69	128
229	SPUDonSTEROIDS	128
229	33sudo	128
229	stellarjay	128
237	drompje	127
238	Druid95	120
239	grislgrobl	119
240	EfficientC52	117
241	XxCookiequeenxX	116
242	DermeinUser	112
242	corpsecity	112
242	SammiWolfGirl	112
242	vandmanden	112
246	M_Patata	111
246	MasterNueve	111
248	bearlystraight	110
249	Darkgon	108
250	Myszoaz	104
250	Toasty_Tom	104
252	starbits140	103
253	iSammael	102
253	UCP_TheKingK	102
255	Hpdinosaur	100
255	ashetrays	100
255	JESS_THE_RERE	100
258	Stynxy	94
259	Fuad_R	93
260	Cortexia	92
260	Inchef	92
262	ADEXTV	88
263	surfinggiraffejp	87
263	yaboo88	87
265	fluddd	86
