rank	username	minecraft:crafted/minecraft:brush
1	Apollo_993	11
2	Enderxz3	8
3	pintsizedrogue	6
4	ECstardust	5
4	ZaneABrain	5
4	Huwulling	5
4	oscminus	5
4	Pumpkin_P_Patch	5
9	k_ce	4
9	Mr_Byzantine	4
9	Merv__	4
9	corvidpartyfor6	4
9	lordpipe	4
14	Secret_Canary	3
15	j5ylim	2
15	Alteriity	2
15	Archsam	2
15	crashomon	2
15	Jackattack53	2
15	MAns_44	2
15	Kowcio_	2
15	skitzxo	2
23	myaccountwasgone	1
23	lorywithay	1
23	beeperbeeper5	1
23	QuiCreans	1
23	Tersea_	1
23	TheSecondLord	1
23	MattieHD	1
23	Fullut	1
23	noam464	1
23	Kakolbus	1
23	Reneedium	1
23	Taco_Cat898	1
23	Krowuss	1
23	SvenskaSara	1
23	Werbe	1
23	Samificator	1
23	EveryonesUncle	1
23	FiguraDei	1
23	StarCookiees_	1
23	_Mythic____	1
23	pixelviolin	1
23	TheBananaKat	1
23	DairyNickel756	1
23	Jimb0nat0r	1
