rank	username	minecraft:crafted/minecraft:cut_copper
1	Mattesco	1596
2	Steelynan	256
3	thewindmillman	188
4	EMC_	160
5	Lez_	140
6	00000000-0000-0000-0009-01ff0c3e5e4f	112
7	RoofTyler	108
8	joethahobo	100
9	Kubelz	88
10	Lord_Jord	76
11	Enigma0251	72
12	jessewegottacook	64
12	beeperbeeper5	64
12	UCP_TheKingK	64
15	Jeteight	60
16	weabis	48
17	Mr_Byzantine	44
17	Nycteus_	44
19	12Magner05	40
19	Soplight	40
21	Jimb0nat0r	32
21	00000000-0000-0000-0009-01f570995a20	32
23	k_ce	28
23	Winklepicker279	28
25	Moofyman	24
25	luseis	24
27	Touched_Bread	20
28	Hyp3rion_	16
28	Silvo614	16
30	TheSecondLord	8
31	pintsizedrogue	4
31	Ryker	4
31	StinkyDiplomat	4
31	Vegvisir	4
31	Kowcio_	4
