rank	username	minecraft:crafted/minecraft:pink_dye
1	thewindmillman	103101
2	oxfordschool	14742
3	noam464	13848
4	Inbefour	5483
5	joethahobo	5328
6	Marbz_	2336
7	PlasticOtari	2028
8	YungMaki	1797
9	beeperbeeper5	1740
10	EveryonesUncle	1568
11	HellsSponge	1415
12	Werbe	1022
13	Smoke____	956
14	pixelviolin	744
15	TheShyPig	700
16	Jiminie	670
17	Spacewardharpy7	544
18	lordpipe	542
19	ROY4LE	540
20	Steelynan	511
21	Maenara	489
22	Rumpletaezer	405
23	jnp_gaming	401
24	PeteO1995	397
25	TechnoNinja64	394
26	Hyp3rion_	344
27	LordSpeed37	326
28	Njensen7	320
29	_8man	282
30	500am	267
31	lillips	256
32	DarlaMeow	250
33	BlancoFlaco	241
34	TheSecondLord	238
35	SuperPooch06	218
36	Rasmanden	208
37	nataliecool	206
38	Xalithia	198
39	Legendosh	194
40	RoboTramp7865	192
41	kekhon	166
42	egglapras	152
42	proxivitoid	152
44	Blackberry1310	148
45	EMC_	140
46	Tobinator_007	138
47	NameGenerat0r	130
48	Freak_Genius	128
48	remmisrat	128
50	Wooptey	108
51	Snowflowe	98
52	Ezekson	92
53	queenalina123	82
54	Mahoose	79
55	KeruNatsema	74
56	Chromary	69
57	Billious	68
57	sp00ky_ghost977	68
57	obzii	68
60	_k2x	67
61	audiocracked	65
62	FishisTTV	62
63	Onennon	61
64	wobn	60
65	PlzNoBM	56
66	Windo_licker	54
66	anbbang	54
68	pintsizedrogue	50
69	slkiey	48
69	Quotary	48
71	set67	46
71	theonlymagikarp	46
71	NarwhalTaco	46
74	KartivGal	44
75	Kim_Jong_eel	40
75	sxc_	40
77	Gundam_Steven	36
77	CollinMH06	36
77	Toriankel	36
80	tobinwilliams	34
80	Blu3beast	34
82	Inchef	32
82	Kakolbus	32
82	MovingFish7	32
82	TheEnderman548	32
86	censorsheep	30
86	Groundler	30
86	__tomato	30
89	chipklip	29
90	Soul_Atreus	28
90	GlitchyPlate810	28
90	LeeMcGee30	28
93	Fullut	27
93	lcvezra	27
95	titanlax	26
95	ooga47	26
95	_Bguette_	26
98	MrExplorer	24
99	Bumpy419	23
100	wrinkledpiglet	22
101	Merv__	20
101	_Dean_123	20
101	BlossomOwO	20
101	Voxin2K	20
101	Fildyr	20
106	Incinere	18
106	xxPipperDipperxx	18
106	whoaluv	18
106	KillerNekoRain	18
106	Kynigito	18
106	claivin	18
112	Motsaro	16
112	surfinggiraffejp	16
112	Soplight	16
112	mobunni	16
116	ExtraDumb	14
116	livingdaydreams	14
116	TheFlfthHorseman	14
116	xo_Marren_xo	14
116	fluddd	14
116	_TCARREIRA_	14
122	SaucyDark	13
122	pappaberg	13
122	Sky_light_KING	13
122	Frozil12	13
126	Natty	12
126	Bolete	12
126	LilLizardWizard	12
126	Th6masss	12
126	SSytex_X	12
131	AuroraValkyrie	11
132	Bandito_Roamer	10
132	_Cloverbelle_	10
132	Meatlaugh	10
132	Quincannon	10
132	starbits140	10
132	stellarjay	10
132	Deguns123	10
132	mountaingirl311	10
140	Comma__	9
140	Zaridey	9
140	El_Jalapeno	9
143	RoskobiOne	8
143	ProfessorBee	8
143	MeowMeowMcmuffin	8
143	CrookedKaptain	8
143	Scathra	8
143	_Boipl_	8
143	Jiminbub	8
143	Eraxa	8
143	_Tilariel_	8
143	bloomkieren	8
153	mwrty	7
153	RodSerlingCringe	7
155	numbra	6
155	TakeThis2UrGrave	6
155	The11thDoctor	6
155	Kouridragon	6
155	Skomo	6
155	_naturell	6
155	420BreadLizard	6
155	The_slideV3	6
155	SingedBread	6
155	Kyrum2169	6
165	Ecplosive	5
165	Truckoss	5
167	seanitoo	4
167	Menthas	4
167	Jalvajar	4
167	Sleek_Storm_721	4
167	ssleepless	4
167	MOSS000	4
167	fr0stss	4
167	m_be9	4
167	GingerNeutron	4
167	thescout7	4
167	r123moore	4
167	Winklepicker279	4
167	MyNameIsJobo	4
167	AnnieBathory	4
167	ItsAki_	4
167	Akoot_	4
167	NomadicRobin_	4
167	Deathkob	4
167	monky_irl	4
167	SammiWolfGirl	4
167	PortlyPete69	4
167	cichy096	4
167	Enderslayerxz3	4
190	SugarMyNuggets	3
190	Houstonion	3
190	ImpavidArcher	3
190	Zippyzam	3
190	MinttyFressh	3
190	Kubelz	3
190	Nycteus_	3
190	a_smol_bean	3
198	Lisa_Katrina_17	2
198	PhantomsGhost_	2
198	MadBroMad	2
198	strongman951753	2
198	soundad	2
198	6king6colt6	2
198	TooManyDuck	2
198	Hpdinosaur	2
198	Ryker	2
198	ewsophie	2
198	TAKrules	2
198	CoffeeNoir	2
198	awesomeoneme	2
198	ShedJr_	2
198	H72l9w	2
198	Historical_Sand	2
198	tramizu	2
198	Sparky_KT	2
198	Prodiginus	2
198	roxycherry	2
198	gilesmcriles	2
198	jushykins	2
198	shyshyannne	2
198	CarbonatedCola	2
198	Awyrlas	2
198	intropass	2
198	SellyZ	2
198	John6970	2
198	ReverendSmith	2
198	gabriels543	2
198	Arceus1975	2
198	King_Pancake1	2
198	AlexStrange	2
198	RyuNeko932000	2
198	MustardDrinker	2
198	HAIRYCLOUD626	2
198	RobotMinion101	2
198	MousePlays	2
198	YahooScreen9000	2
198	MrButterscotch	2
198	XxCookiequeenxX	2
198	ese_wn_po	2
198	rotten_mango	2
198	ChocolatePepsi	2
198	madderfall	2
198	YungWali	2
198	Soap_Bender	2
198	MAns_44	2
198	MustaLoordi	2
198	Racengan	2
198	Airem_Core	2
198	AvaRosey	2
198	OG_Songsee	2
198	babyjimmyneutron	2
198	Razzgriz	2
198	Nagasaki_Riku	2
198	gabbyeden	2
198	KayleeGrace58	2
198	djancak	2
198	KingMatthew506	2
198	TheOnlyRake	2
198	Miko_Fullbuster	2
198	FelixPSY375	2
198	OnlyOfficial	2
198	2blox	2
263	RebelAndroid	1
263	eitanzaki	1
263	Myszoaz	1
263	SoftSix	1
263	Avrelion	1
263	regulator75	1
263	Nicky19	1
263	Lord_Jord	1
263	wezzzi	1
263	1442	1
263	Barlycorn	1
263	Kowcio_	1
