rank	username	minecraft:crafted/minecraft:mossy_cobblestone_wall
1	EMC_	1782
2	Shogunite	180
3	thescout7	120
4	Mr_Byzantine	110
5	MisfitsMike	96
6	Merv__	78
7	Caribouse	60
7	Yamdalorian	60
9	Tersea_	48
10	Enderxz3	44
11	surfinggiraffejp	42
11	milltesco	42
13	SaltineDream	36
13	pintsizedrogue	36
13	skroobiez	36
16	_witch_craft_	30
17	XxCookiequeenxX	24
17	Sral7	24
19	Jovaphobic	18
19	Dakar_	18
21	luseis	16
22	thewindmillman	15
22	PaperCanvas	15
24	xxPipperDipperxx	12
24	DemTechAlpha	12
26	SvenskaHugo	11
27	rachcl	7
27	Kowcio_	7
29	_Huge_Male_	6
29	Houstonion	6
29	InfernalMound	6
29	Mattesco	6
29	Eraxa	6
29	pixelviolin	6
29	obzii	6
36	Krowuss	3
37	beeperbeeper5	2
38	lorywithay	1
38	TheSecondLord	1
38	HellsSponge	1
