rank	username	minecraft:crafted/minecraft:netherite_boots
1	Dedalus36	9
2	500am	7
2	Hyp3rion_	7
4	Drlzyy	2
4	hm947	2
4	Alteriity	2
4	NinjaKnifeKill	2
4	egglapras	2
4	Marbz_	2
4	Di_infiri	2
4	HellsSponge	2
4	TheOuterCore	2
13	nataliecool	1
13	_NieToksikpl_	1
13	RoskobiOne	1
13	Paint	1
13	AuroraValkyrie	1
13	6king6colt6	1
13	Sleek_Storm_721	1
13	chimpmunker	1
13	itburb	1
13	Flores991	1
13	_Razar	1
13	tuckerdoodle	1
13	Wooptey	1
13	CoffeeNoir	1
13	Myszoaz	1
13	MSK__	1
13	jacxhadow	1
13	Chickenchaser2	1
13	jiggywraps	1
13	bloodbiter	1
13	12Magner05	1
13	MinttyFressh	1
13	Megarboh	1
13	shyshyannne	1
13	Kkanot	1
13	Awyrlas	1
13	PegLegPete93	1
13	Inchef	1
13	Xalithia	1
13	__TheNorseMan__	1
13	CharlieButt	1
13	mimbo1211	1
13	TheDankPlatypus	1
13	Jackattack53	1
13	SuperPooch06	1
13	Chromary	1
13	thewindmillman	1
13	pappaberg	1
13	Rocco_Lane	1
13	Rebytre	1
13	Hiryu27	1
13	HAIRYCLOUD626	1
13	ApophisNova	1
13	Afinnity	1
13	SpaggeDR	1
13	KartivGal	1
13	Mattesco	1
13	AlexxO_o	1
13	Jonte0599	1
13	SvenskaAlvar	1
13	Gmoney390	1
13	Myhym	1
13	sammidk	1
13	KeruNatsema	1
13	PuFY	1
13	ToastedGamingYT	1
13	Dan_Scha	1
13	Hail_the_wombat	1
13	TJawesome09	1
13	MrQuanQuan	1
13	AuroraSkies	1
13	Wowful	1
13	ogoa	1
13	KnightmareD	1
13	Gab4101	1
13	XxCookiequeenxX	1
13	EveryonesUncle	1
13	Jiminie	1
13	Deodorante	1
13	Deathkob	1
13	Lutres_Torane	1
13	DarkS0L	1
13	Fuad_R	1
13	_Karmaa	1
13	RoBe__	1
13	Quaintster	1
13	Freak_Genius	1
13	EfficientC52	1
13	Not_Insom	1
13	censorsheep	1
13	Steven1282598	1
13	MightyWertu	1
13	SingedBread	1
13	LazySupport00	1
13	SkateboardR6	1
13	monky_irl	1
13	Dusk_95	1
13	ItsDeltaMC	1
13	Ze_BaronKrigler	1
13	Strangemonkey71	1
13	Segotep999	1
13	djancak	1
13	Spenduh	1
13	microcrisp	1
13	PortlyPete69	1
13	_Yonk_	1
13	fffMike	1
13	jcool7	1
13	Njensen7	1
13	Kubeusz2010	1
13	MissCeleste7	1
13	RadarHz	1
13	MyNamaSheff	1
13	FelixPSY375	1
13	AltnumberF4	1
13	YoshikageBites	1
13	00000000-0000-0000-0009-01ff0c3e5e4f	1
