rank	username	minecraft:crafted/minecraft:light_gray_banner
1	Smoke____	125
2	Mahoose	84
3	RobotMinion101	71
4	SquadMonster	24
5	Fuhrer_Teemo	23
6	beeperbeeper5	19
6	500am	19
8	noam464	18
9	_Dean_123	12
10	TheShyPig	9
10	lcvezra	9
10	Legendosh	9
13	Winklepicker279	8
13	pappaberg	8
15	HellsSponge	7
16	MattieHD	6
17	kekhon	5
18	titanlax	4
19	m_be9	3
19	ApophisNova	3
19	MyNamaSheff	3
19	YoshikageBites	3
23	H72l9w	2
23	ROY4LE	2
25	ewsophie	1
25	Awyrlas	1
25	EveryonesUncle	1
25	Dusk_95	1
25	Dogcorn69420	1
