rank	username	minecraft:crafted/minecraft:soul_campfire
1	Hyp3rion_	1833
2	TheWickedBird	272
3	non089	95
4	CLG_Kata	87
5	EveryonesUncle	85
6	MAns_44	67
7	noam464	66
8	RoskobiOne	64
8	Historical_Sand	64
8	Jekyll	64
8	Enderxz3	64
12	Mahoose	57
13	fffMike	53
14	pixelviolin	51
15	RebelAndroid	45
16	Nicserso	36
17	fw3xy74	35
18	mattybeewrapss	33
18	Shogunite	33
18	ConnorDanky_	33
21	prizm_	30
22	Mookle96	26
23	ActualPatbaf	25
23	catandmoose	25
23	El_Jalapeno	25
26	Samificator	21
27	TheSecondLord	18
28	Touched_Bread	17
29	kekhon	16
29	Mattesco	16
29	Hisiste	16
32	Yamdalorian	15
33	Moofyman	13
33	AstreaTSS	13
33	Airem_Core	13
36	SkateboardR6	12
37	UncreativeArtist	11
37	Legendosh	11
39	joethahobo	10
39	Hetti301	10
39	500am	10
39	Manaateee	10
43	MinttyFressh	9
43	set67	9
43	Steelynan	9
46	Mr_Sun15	8
46	zToasty69z	8
46	CalebDHawk	8
49	Druid95	7
50	SpartanNamor	6
50	_Dean_123	6
50	Marbz_	6
50	TheShyPig	6
50	brofrickcheaters	6
55	Arceus1975	5
56	beeperbeeper5	4
56	Kakolbus	4
56	ZeroKraken	4
59	12Magner05	3
60	Alteriity	2
60	Lez_	2
60	ScootOfBoot	2
63	k_ce	1
63	Mr_Byzantine	1
63	_Huge_Male_	1
63	Merv__	1
63	ShedJr_	1
63	rarrq	1
63	Fullut	1
63	Jackattack53	1
63	thewindmillman	1
63	oscminus	1
63	seramalen	1
63	Leyna3	1
63	StarCookiees_	1
63	Eraxa	1
63	djancak	1
63	EcksD	1
