rank	username	minecraft:crafted/minecraft:gray_glazed_terracotta
1	QuiCreans	3680
2	Frozil20	512
3	fragrantmonke444	448
4	Onennon	320
5	Dan_Scha	264
6	TheShyPig	200
7	YungMaki	155
8	ImpavidArcher	144
8	Hyp3rion_	144
10	luseis	108
11	titanlax	96
12	noam464	73
13	Jackattack53	72
14	Tommhh	64
14	Blaiku	64
16	pixelviolin	49
17	Krowuss	48
17	emreknugrlu	48
17	Lutres_	48
20	Yamdalorian	42
21	Lez_	41
22	ooga47	40
23	Mahoose	32
24	_Virify_	24
24	Mr_Byzantine	24
24	oscminus	24
24	Kowcio_	24
24	Pumpkin_P_Patch	24
24	hermmm_	24
24	PlasticOtari	24
31	Blackberry1310	16
32	eitanzaki	13
32	bl1ss0	13
34	pintsizedrogue	12
34	joethahobo	12
34	Kakolbus	12
34	Snowflowe	12
34	Elastiq	12
34	sp00ky_ghost977	12
34	KingMatthew506	12
34	Steelynan	12
34	Ezekson	12
34	ConnorDanky_	12
34	EcksD	12
34	Sral7	12
46	Nicserso	9
47	PhantomsGhost_	8
47	TheSecondLord	8
47	Inbefour	8
47	StinkyDiplomat	8
51	The_slideV3	6
52	500am	4
52	ItsDeltaMC	4
54	beeperbeeper5	2
55	Bandito_Roamer	1
55	Akoot_	1
55	EngagedGrub41	1
