rank	username	minecraft:crafted/minecraft:green_banner
1	beeperbeeper5	1936
2	Lez_	388
3	joethahobo	219
4	Werbe	131
5	Huwulling	110
6	k_ce	104
7	luseis	69
8	_Dean_123	62
9	cuddlyMonster	52
10	pintsizedrogue	31
11	TheShyPig	27
11	Buuck_	27
13	LuvLuvLove	25
14	Merv__	23
15	SteveCraftBlocks	21
16	lorywithay	20
16	Legendosh	20
18	skroobiez	19
19	noam464	18
20	Kakolbus	16
21	Skylord_Luke	13
22	Mattesco	12
22	robonya_	12
24	Xclax101	10
25	corpsecity	9
25	CalebDHawk	9
27	ShedJr_	8
27	Historical_Sand	8
27	Snowflowe	8
30	Smashic	6
31	Mr_Byzantine	5
31	Mahoose	5
31	pixelviolin	5
31	Kowcio_	5
35	ConnorDanky_	4
36	CLG_Kata	3
36	hm947	3
36	Krowuss	3
36	Jimb0nat0r	3
40	Studio4x32	2
40	Fullut	2
40	toj__	2
40	legal_tax_evader	2
40	CarltheCuck	2
40	AlexxO_o	2
40	_Karmaa	2
40	Druid95	2
40	StarCookiees_	2
40	SvenskaHugo	2
40	jnp_gaming	2
51	Niklas20114552	1
51	SaucyDark	1
51	Swexti	1
51	TheSecondLord	1
51	m_be9	1
51	AdvertisingMerc	1
51	fr_ser	1
51	Chromary	1
51	MustardDrinker	1
51	seramalen	1
51	Lord_Jord	1
51	EveryonesUncle	1
51	Manaateee	1
51	HellsSponge	1
51	NameGenerat0r	1
51	_flud	1
51	Groundler	1
51	Thunder_bird4337	1
51	Soplight	1
