rank	username	minecraft:crafted/minecraft:arrow
1	Hyp3rion_	25237
2	Soplight	23390
3	noam464	9600
4	sp00ky_ghost977	7028
5	SmashingPump	5266
6	PigDab	4800
7	kekhon	3416
8	Historical_Sand	3148
9	Bandito_Roamer	2437
10	Merv__	2384
11	beeperbeeper5	2292
12	pintsizedrogue	1308
13	hermmm_	1252
14	KingMatthew506	1232
15	RebelAndroid	1152
16	TheShyPig	1128
17	MilleGrug	1092
18	HellsSponge	941
19	Apollo_993	912
20	thescout7	900
21	m_be9	884
22	KarlKaek	820
23	PaperCanvas	804
24	EcksD	772
25	Enderxz3	760
26	CoryJJ	744
27	Yamdalorian	704
28	joethahobo	688
29	monky_irl	636
30	Frozil20	600
31	shineh10	592
32	2Stout	584
33	mwrty	580
34	Zoeyfortnite	576
35	pixelviolin	560
36	Meatlaugh	528
37	Snowflowe	520
38	Moss_2006	480
39	Onennon	464
40	Karetoko	448
41	Bumpy419	428
42	Racengan	416
42	xzvu	416
44	FirsTimeGamingTV	405
45	TheThomas69	404
46	Spacewardharpy7	400
47	Kateesaur	392
48	Tolhart	384
48	lorywithay	384
48	Werbe	384
51	MattieHD	368
52	CLG_Kata	360
53	stellarjay	356
54	Fast_Turtle	352
55	Tommhh	344
56	IAmTheWalrus910	320
56	Eraxa	320
58	Inchef	316
59	ReflexCode	304
59	FelixPSY375	304
61	Nicserso	292
62	IdeallyGrey	288
62	miramyu	288
64	teslawolf38	268
65	Inbefour	260
66	rarrq	256
67	Leyna3	248
68	Kim_Jong_eel	244
68	fluddd	244
70	Zaridey	242
71	masskedman	228
71	djancak	228
73	Tyrannosplart	224
73	NameGenerat0r	224
75	audiocracked	216
76	WyngGoy	212
77	ConnorTG5	208
77	diggydog67	208
79	DairyNickel756	204
80	eitanzaki	200
80	zorin123	200
80	_3Stump_	200
83	KermitTheKripple	198
84	Comma__	196
85	NatalieTW	192
85	_Virify_	192
85	Mr_Byzantine	192
85	diamondgolem35	192
85	T045RTY	192
85	Lez_	192
85	excelsionprime	192
85	gcaisawesome	192
85	Di_infiri	192
85	Jackattack53	192
85	Kondzik2008	192
85	guiltybastard	192
85	EdGalbraith	192
85	Manaateee	192
85	h2p_emrld	192
85	00000000-0000-0000-0009-01f36f79dcc7	192
101	THEKINGLyric10	190
102	Euclidoris	184
103	John6970	176
103	CollinMH06	176
105	dudcreeper	172
106	MunkaKris	168
106	jacxhadow	168
106	IamCL4SSY	168
109	Jackster03	160
110	Boipl	156
111	Astronicky	152
111	Morgf	152
111	CliffEmAll	152
114	gren_ben	148
115	ActualPatbaf	144
115	RadarHz	144
115	jnp_gaming	144
118	Kynigito	140
118	SUN_DREAM	140
120	NormanFetus	136
120	starbits140	136
122	MrExplorer	132
123	Froste131	128
123	MadBroMad	128
123	Mandroch	128
123	yulgur1	128
123	Jiminbub	128
128	__TheNorseMan__	120
128	censorsheep	120
130	Misato_0	116
130	Kouridragon	116
130	Moofyman	116
