rank	username	minecraft:crafted/minecraft:enchanted_book
1	joethahobo	7687
2	Hyp3rion_	4908
3	noam464	4007
4	Historical_Sand	2477
5	HellsSponge	2214
6	PigDab	1820
7	Mahoose	1308
8	TechnoNinja64	1015
9	MightyWertu	700
10	eitanzaki	676
11	thescout7	538
12	sp00ky_ghost977	522
13	Comma__	513
14	beeperbeeper5	492
15	Merv__	451
16	Di_infiri	432
17	Blaiku	391
18	Inbefour	343
19	Racengan	324
20	mariominejedi	310
21	Hisiste	284
22	Hermanni__	277
23	ZeroKraken	273
24	youhjjhhhjj	266
25	TheShyPig	256
26	NotMeanttoChange	249
27	pintsizedrogue	247
28	Skippeh	246
29	gcaisawesome	230
29	Spacewardharpy7	230
31	Sky_light_KING	222
32	kekhon	214
33	EveryonesUncle	210
34	fffMike	204
35	Dedalus36	200
36	MattieHD	196
37	TheSecondLord	180
38	Freak_Genius	177
39	Rumpletaezer	165
40	Smoke____	163
41	EcksD	153
42	Sral7	148
43	Soplight	143
44	Snowflowe	137
45	chipklip	135
46	bloodbiter	134
46	claivin	134
48	500am	133
49	himak1	131
50	CoffeeNoir	124
51	The_slideV3	114
52	set67	111
53	Lord_Jord	108
54	EfficientC52	101
55	FelixPSY375	99
56	oxfordschool	90
57	Werbe	82
57	AssEatrAndLicker	82
59	Bumpy419	79
60	emrekn	78
61	Powowowow	77
62	TheEnderman548	76
62	stahouo	76
64	fred870d	74
65	YungMaki	73
66	thewindmillman	71
67	KomputerDude	69
68	RebelAndroid	68
69	Blu3beast	67
70	Spenduh	65
71	SlayerCrypto	62
72	HolyVenom	59
73	Rich_Kat	58
74	fkGrim	57
75	_3Stump_	56
76	masskedman	55
76	BumbleBeever	55
78	Karetoko	49
79	Frozil12	48
80	Quaintster	47
81	Skylord_Luke	46
82	I_Am_Mushkin	45
83	pixelviolin	44
83	vandmanden	44
85	Drlzyy	43
86	Arceus1975	42
86	Deathkob	42
86	Ezekson	42
89	loveseeker	41
89	DanTheBuilderino	41
91	livingdaydreams	40
91	AmbroseForLife	40
93	teslawolf38	37
93	mwrty	37
95	BRRRN179	35
95	ItzWqlfy	35
95	Sheldor097	35
98	Dogcorn69420	34
99	_Virify_	33
100	T045RTY	31
100	CharlieButt	31
100	Rasmanden	31
100	Zoeyfortnite	31
104	Fizznut909	30
105	egglapras	29
105	diggydog67	29
107	NoChumpChange	28
107	Kyrum2169	28
109	q_wq	27
109	XxCookiequeenxX	27
109	starbits140	27
112	JayToe	26
113	Hpdinosaur	25
113	RadarHz	25
115	Xalithia	24
115	KG1999	24
117	Fullut	23
117	PegLegPete93	23
117	JESS_THE_RERE	23
117	Kowcio_	23
121	Myszoaz	22
121	John6970	22
121	Soap_Bender	22
121	PlzNoBM	22
125	Auseawesome	21
125	LeeMcGee30	21
125	FishisTTV	21
128	r123moore	20
128	Akoot_	20
128	TheDumbHuman	20
131	Healthing	19
131	CliffEmAll	19
131	LotusProject	19
131	Jiminie	19
131	Deodorante	19
136	Chickenchaser2	18
136	Voxin2K	18
136	_naturell	18
136	amkold	18
140	NotTrixi	17
140	TheTrueClipse	17
140	MakeHistory157	17
140	h2p_emrld	17
144	Gundam_Steven	16
144	DemTechAlpha	16
144	_czarny	16
144	SkateboardR6	16
148	Wooptey	15
148	Valoth	15
148	Bolete	15
148	_Bguette_	15
148	lordpipe	15
153	BodaciousCake	14
153	H72l9w	14
153	whoaluv	14
153	censorsheep	14
153	Luigipunch989	14
153	MilleGrug	14
153	Kubeusz2010	14
153	MissCeleste7	14
161	ivorico	13
161	fluddd	13
161	IAmTheWalrus910	13
164	shyshyannne	12
164	Diavri	12
164	Zythose	12
164	ApophisNova	12
164	brofrickcheaters	12
164	MyNamaSheff	12
164	Nicserso	12
171	jacxhadow	11
171	ThePoliteG	11
171	Hoxy	11
171	Chromary	11
171	epiksk8erduck	11
