rank	username	minecraft:crafted/minecraft:red_bed
1	PigDab	746
2	Soplight	250
3	RadarHz	245
4	ayamefag	106
5	rarrq	85
6	EveryonesUncle	71
7	Eczbek	66
8	wx4z	65
9	robertsnose	64
9	diamondgolem35	64
11	Merv__	62
12	beeperbeeper5	59
13	EMC_	56
14	Sleepy_Evelyn	53
14	SpacesickPrism	53
16	Ezekson	43
17	King_Pancake1	42
18	eitanzaki	41
19	Lez_	38
20	_Dean_123	33
21	joethahobo	28
22	m_be9	25
22	Inchef	25
22	ConnorDanky_	25
25	HellsSponge	23
26	StinkyDiplomat	21
27	PortlyPete69	20
28	jacxhadow	19
28	Steelynan	19
30	XboxPanda	18
31	luseis	17
32	500am	16
32	xxPipperDipperxx	16
32	gcaisawesome	16
32	Chromary	16
32	Lord_Jord	16
32	Quaintster	16
32	Sral7	16
39	pintsizedrogue	15
39	Kowcio_	15
41	ShedJr_	14
41	Yamdalorian	14
43	shineh10	13
44	Mattesco	12
44	SkateboardR6	12
44	UltraZombie	12
47	andy_rex	11
47	jnp_gaming	11
49	RoskobiOne	9
49	Manaateee	9
49	robonya_	9
52	Gzrdy	8
52	PlasticOtari	8
54	MinttyFressh	7
54	BumbleBeever	7
56	Mahoose	6
56	Prodiginus	6
56	shdesolt	6
56	PegLegPete93	6
56	Jackattack53	6
56	Solar_Power	6
56	Eraxa	6
56	little_dUki	6
64	CLG_Kata	5
64	_Huge_Male_	5
64	QuiCreans	5
64	12Magner05	5
64	zorin123	5
64	Smashic	5
64	Arceus1975	5
64	Rebytre	5
64	Onennon	5
64	TheShyPig	5
64	Deathkob	5
64	MAns_44	5
64	El_Jalapeno	5
64	SammiWolfGirl	5
64	Jimb0nat0r	5
64	TwinTowerV2	5
80	SaucyDark	4
80	bloodbiter	4
80	set67	4
80	prizm_	4
80	Dakar_	4
80	weabis	4
80	FreakGenius	4
80	miramyu	4
88	Zee_zey	3
88	Froste131	3
88	Hpdinosaur	3
88	Crowman1	3
88	Megarboh	3
88	cyrusisntgay	3
88	_witch_craft_	3
88	craaaash	3
88	Winklepicker279	3
88	killmeiamtraitor	3
88	Vetral1	3
88	PaperCanvas	3
88	FishyBoy3811	3
88	Fakiuss	3
88	Syropatathe	3
88	Airem_Core	3
88	smogfrog	3
105	RatatJuice	2
105	Incinere	2
105	RebelAndroid	2
105	lorywithay	2
105	Alteriity	2
105	Literally_Rat	2
105	iElijahi	2
105	gaziter10	2
105	Swexti	2
105	Ozixar	2
105	NieToksikpl	2
105	TheSecondLord	2
105	rpmm	2
105	TheDiamondCG	2
105	Cidah	2
105	emrekn	2
105	John6970	2
105	fallingemma	2
105	legal_tax_evader	2
105	whoaluv	2
105	Krowuss	2
105	wrinkledpiglet	2
105	Slaymie	2
105	IamCL4SSY	2
105	wirelesstree	2
105	AlphaWolfPlaysMC	2
105	TheSeismicDuck	2
105	Jiminbub	2
105	Vol_Rod33	2
105	KermitTheKripple	2
105	The_slideV3	2
105	Deerfoot	2
105	the__Reaper4999	2
105	DarkLawD	2
105	MakeHistory157	2
105	Optiprimus	2
105	TheKingK_	2
105	CattSoup	2
105	Nicserso	2
105	TechnoNinja64	2
105	LuvLuvLove	2
146	Alexanderjac	1
146	SaltineDream	1
146	RosaDoesMC	1
146	k_ce	1
146	jjettii	1
146	Mr_Byzantine	1
146	Argraol	1
146	dabloons	1
146	jspwn	1
146	teslawolf38	1
146	Frozil20	1
146	6king6colt6	1
146	Ryan_GEMS	1
146	ColeSnyder	1
146	alcremiie_	1
146	Gundam_Steven	1
146	BodaciousCake	1
146	ZaneABrain	1
146	Reamdin	1
146	Cats_Fly	1
146	MSK__	1
146	SkullxKandyz	1
146	Dblikstad	1
146	TastyPorkchop	1
146	JCdaLeg3nd	1
146	Miroryk	1
146	titanlax	1
146	cheerytomato	1
146	Blackberry1310	1
146	Saucepeh	1
146	jushykins	1
146	Rich_Kat	1
146	kekhon	1
146	_HoneySlime_	1
146	GingerNeutron	1
146	eclipseboi	1
146	poopybh	1
146	wiqor	1
146	slkiey	1
146	redikul	1
