rank	username	minecraft:crafted/minecraft:orange_banner
1	beeperbeeper5	579
2	Werbe	320
3	FreakGenius	164
4	xolstoi	124
5	Lez_	117
6	Cowison	105
7	RebelAndroid	97
8	_Dean_123	77
9	luseis	51
10	pintsizedrogue	49
11	Huwulling	48
12	EveryonesUncle	40
13	MakeHistory157	32
14	MixerDixer	31
14	TheShyPig	31
16	Akoot_	29
17	Legendosh	23
18	ShedJr_	18
18	noam464	18
18	Nicserso	18
21	Mahoose	15
22	Mattesco	14
23	bloodbiter	12
24	lcvezra	8
24	VentiHilton	8
26	Skylord_Luke	6
27	audiocracked	5
27	Luigipunch989	5
27	00000000-0000-0000-0009-01ff0c3e5e4f	5
30	rarrq	4
30	Blackberry1310	4
30	Snowflowe	4
30	Onennon	4
30	pixelviolin	4
35	Merv__	3
35	12Magner05	3
35	HellsSponge	3
35	Groundler	3
35	stellarjay	3
35	AdmiralSmoke	3
41	Mr_Byzantine	2
41	teslawolf38	2
41	heckface	2
41	500am	2
41	Kamflame10	2
41	Chromary	2
41	wezzzi	2
41	NomadicRobin_	2
41	Deerfoot	2
41	ConnorDanky_	2
41	JayToe	2
52	SaucyDark	1
52	TheSecondLord	1
52	m_be9	1
52	MattieHD	1
52	theonlymagikarp	1
52	Kynigito	1
52	Kowcio_	1
