rank	username	minecraft:crafted/minecraft:brown_stained_glass_pane
1	diamondgolem35	848
2	lcvezra	624
3	BreadBacon	576
4	_Virify_	160
5	EMC_	112
5	oreee	112
7	lillips	96
8	Snowflowe	80
9	6king6colt6	64
9	jnp_gaming	64
11	pintsizedrogue	48
11	Lez_	48
11	Blaiku	48
11	oxfordschool	48
15	Rumpletaezer	40
16	beeperbeeper5	16
16	Blackberry1310	16
16	m_be9	16
16	Onennon	16
16	Akoot_	16
16	Jiminie	16
16	HellsSponge	16
16	El_Jalapeno	16
16	Spacewardharpy7	16
16	Kowcio_	16
16	Sral7	16
27	ZaneABrain	8
27	MyNameIsJobo	8
