rank	username	minecraft:crafted/minecraft:red_sandstone_stairs
1	TheShyPig	32
2	El_Jalapeno	20
3	ROY4LE	16
4	ImpavidArcher	4
4	RatatJuice	4
6	Merv__	2
6	beeperbeeper5	2
