rank	username	minecraft:crafted/minecraft:magenta_stained_glass_pane
1	AdmiralSmoke	3584
2	lordpipe	2976
3	beeperbeeper5	1808
4	EMC_	224
5	SoftSix	192
6	Manaateee	176
7	Hyp3rion_	160
7	IamCL4SSY	160
7	lillips	160
7	CattSoup	160
7	jnp_gaming	160
7	Sral7	160
13	6king6colt6	144
14	TheSecondLord	112
15	El_Jalapeno	96
15	Ezekson	96
17	TheShyPig	72
18	YungMaki	64
19	Blaiku	48
20	Winklepicker279	32
20	PigDab	32
20	mihimihimihi	32
20	Steelynan	32
20	tompup	32
25	PlasticOtari	24
26	ShedJr_	16
26	roxycherry	16
26	XboxPanda	16
26	Rumpletaezer	16
26	Onennon	16
26	bearlystraight	16
26	HellsSponge	16
26	Spacewardharpy7	16
26	TheEnderMan548	16
26	PortlyPete69	16
26	AltnumberF4	16
26	Jimb0nat0r	16
38	livingdaydreams	8
38	NomadicRobin_	8
38	SvenskaHugo	8
