rank	username	minecraft:crafted/minecraft:lever
1	gcaisawesome	5353
2	noam464	3801
3	Di_infiri	2424
4	HellsSponge	2357
5	lillips	1457
6	eitanzaki	1422
7	Spacewardharpy7	1010
8	beeperbeeper5	912
9	thewindmillman	802
10	Smoke____	550
11	PigDab	511
12	joethahobo	441
13	RebelAndroid	428
14	Hyp3rion_	399
15	Mahoose	279
15	Werbe	279
15	AssEatrAndLicker	279
18	Frozil12	260
19	OtariCharlie	246
20	oxfordschool	226
21	EveryonesUncle	217
22	Jackattack53	215
23	_Virify_	197
24	pintsizedrogue	185
25	OfficerAnvil	176
26	T045RTY	175
27	TheShyPig	173
28	MyNameIsJobo	166
29	bigstankyy	158
30	ImpavidArcher	155
31	07shiny	145
32	lordpipe	142
33	Awyrlas	137
34	Historical_Sand	131
35	TheThomas69	128
36	Merv__	120
37	eviltunix	106
38	_Dean_123	103
39	Skylord_Luke	101
40	thescout7	97
41	EMC_	92
42	500am	88
42	NameGenerat0r	88
44	JESS_THE_RERE	87
45	Kateesaur	86
46	kekhon	85
47	Skippeh	83
48	ayamefag	81
49	eiC_	78
50	WyngGoy	75
51	The_slideV3	73
51	jnp_gaming	73
53	Lord_Jord	71
54	Mewar	70
54	Racengan	70
56	AuroraValkyrie	69
56	Snowflowe	69
58	Kakolbus	68
59	DTwenty	67
60	Sky_light_KING	66
60	Miko_Fullbuster	66
62	Shin69	65
63	Dedalus36	64
63	sp00ky_ghost977	64
63	Dogcorn69420	64
63	Quotary	64
67	Arceus1975	63
68	m_be9	61
68	BumbleBeever	61
70	yulgur1	60
71	__tomato	52
72	ivorico	49
72	12Magner05	49
74	mwrty	46
75	Soplight	44
76	Freak_Genius	43
77	Chromary	42
77	obzii	42
79	PhantomsGhost_	41
79	Inbefour	41
79	Hisiste	41
79	PortlyPete69	41
79	Sral7	41
84	anbbang	40
85	YungMaki	37
86	PlzNoBM	36
87	Inchef	34
87	M_Patata	34
89	ProfessorBee	33
90	Comma__	32
90	Groundler	32
90	TheDumbHuman	32
93	sebastiensaborio	31
94	jacxhadow	30
95	MOSS000	29
95	Swexti	29
95	Xclax101	29
95	Ezekson	29
99	Blackberry1310	28
99	bloodbiter	28
99	xxPipperDipperxx	28
102	gabriels543	27
103	Blu3beast	26
103	Factoroni	26
103	jcool7	26
103	EcksD	26
107	MilleGrug	25
108	GravitySaint	24
108	IAmTheWalrus910	24
110	r123moore	23
110	mariominejedi	23
110	Bumpy419	23
110	DanTheBuilderino	23
114	whoaluv	22
114	FishyBoy3811	22
114	mawileite	22
117	rarrq	21
117	NotMeanttoChange	21
117	BlankityMcBlank	21
120	Zythose	20
120	MustaLoordi	20
120	El_Jalapeno	20
120	SSytex_X	20
124	dopplexd	19
125	SDMNAEK	18
125	Warlord324	18
127	Fullut	17
127	benediktine1	17
127	fluddd	17
127	Eraxa	17
127	pixelviolin	17
127	Jordan_R	17
133	_Boipl_	16
134	jushykins	15
134	alderban107	15
134	Wolverine4302	15
137	301851	14
137	SellyZ	14
137	SlayerCrypto	14
137	impossibleteapot	14
137	Luigipunch989	14
137	FishisTTV	14
143	_stets	13
143	teslawolf38	13
143	Base_Tempest	13
143	Xalithia	13
143	Hiryu27	13
143	TechnoNinja64	13
149	MattieHD	12
149	Wowful	12
149	LexMakesHistory	12
149	Hermanni__	12
149	vandmanden	12
149	Teebone15	12
155	CoffeeNoir	11
155	Nicky_H225	11
155	Winklepicker279	11
155	TheTrueClipse	11
155	Jiminie	11
155	Deathkob	11
155	MightyWertu	11
155	Airem_Core	11
155	radioactv_jelly	11
155	SammiWolfGirl	11
155	cichy096	11
166	Louiis123	10
166	Frach23	10
166	ClemenPine	10
166	Karbl	10
166	censorsheep	10
166	SkateboardR6	10
172	Flores991	9
172	AnnieBathory	9
172	Akoot_	9
172	Fuhrer_Teemo	9
172	MasterNueve	9
172	Cocoamallows	9
178	Jovaphobic	8
178	Nach0Bear	8
178	Marbz_	8
178	audiocracked	8
178	NoChumpChange	8
178	_Bguette_	8
178	madderfall	8
178	claivin	8
178	starbits140	8
178	fffMike	8
178	_KuruKuru	8
178	Nicserso	8
190	Groovy_MoonBird	7
190	KarlKaek	7
190	egglapras	7
190	PegLegPete93	7
190	TheDankPlatypus	7
190	SuperPooch06	7
190	Maenara	7
190	_Karmaa	7
190	Fildyr	7
190	AvaRosey	7
190	Strangemonkey71	7
190	Enderslayerxz3	7
190	Legendosh	7
203	Drlzyy	6
203	picardred	6
203	ApophisNova	6
203	chipklip	6
203	Barlycorn	6
203	Typadopoulos	6
203	Dusk_95	6
203	Kowcio_	6
203	CalebDHawk	6
203	Kubeusz2010	6
203	VentiHilton	6
203	MyNamaSheff	6
203	The_SlideV5	6
203	diggydog67	6
217	Natty	5
217	Jackster03	5
217	FirsTimeGamingTV	5
217	heckface	5
217	TheSecondLord	5
217	AngalexikCZ	5
217	loveseeker	5
217	Rumpletaezer	5
217	RobotMinion101	5
217	KeruNatsema	5
217	stuy9	5
217	balin55	5
217	GoofyBread	5
217	Nycteus_	5
217	Fizznut909	5
217	2blox	5
217	EcksDofficial	5
234	Mr_Byzantine	4
234	Mowelan	4
234	Sleek_Storm_721	4
234	ssleepless	4
234	SaucyDark	4
234	awesomeoneme	4
234	fr0stss	4
234	Chickenchaser2	4
234	wiqor	4
234	slkiey	4
234	crying_wolf_13	4
234	Scathra	4
234	Nyxiom_	4
234	kars0n	4
234	Donutt	4
234	Kouridragon	4
234	CruncyIsTaken	4
234	cedric72	4
234	CaptainAvenger7	4
234	HolyVenom	4
234	Leyna3	4
234	KnightmareD	4
234	SpouHn	4
234	avalan64	4
234	Meatlaugh	4
234	Quincannon	4
234	_czarny	4
234	ProfessorDiaper	4
234	ItsDeltaMC	4
234	yatsuta	4
234	TitanCrafting	4
234	adiccting01	4
234	Zoeyfortnite	4
234	JayToe	4
268	weezygator	3
268	Tobinator_007	3
268	abramgray	3
268	dabloons	3
268	xXTheWolfmanXx	3
268	Houstonion	3
268	ExtraDumb	3
268	youhjjhhhjj	3
268	Rox_The_Box	3
268	Vizzoid	3
268	titanlax	3
268	Malorn_Aetherius	3
268	jiggywraps	3
268	MinttyFressh	3
268	Ardennes	3
268	_Nuf	3
268	Paintz	3
268	XboxPanda	3
268	Ecplosive	3
268	RocketRidge	3
268	CarltheCuck	3
268	MustardDrinker	3
268	Corbsman	3
268	ooga47	3
268	seramalen	3
268	ILoveCarrot	3
268	FreddyFart	3
268	masskedman	3
268	DrGrant	3
268	Soap_Bender	3
268	EfficientC52	3
268	Steven1282598	3
268	Blaiku	3
