rank	username	minecraft:crafted/minecraft:diamond_pickaxe
1	joethahobo	1037
2	Hyp3rion_	954
3	noam464	500
4	pintsizedrogue	259
5	gcaisawesome	108
6	Huwulling	102
7	HellsSponge	95
8	TheShyPig	85
8	vandmanden	85
10	Inbefour	78
11	EcksD	76
12	Blaiku	71
13	cedric72	57
14	Di_infiri	56
15	m_be9	41
16	RebelAndroid	39
17	set67	37
18	Xclax101	36
18	Steelynan	36
18	AdmiralSmoke	36
21	eitanzaki	35
22	Maenara	31
22	pixelviolin	31
24	F_Uhre	27
25	Zaridey	26
25	00000000-0000-0000-0009-01ff0c3e5e4f	26
27	Ryan_GEMS	25
28	ApophisNova	23
28	MyNamaSheff	23
30	mwrty	22
30	yheece	22
30	PigDab	22
30	layabout100	22
30	FelixPSY375	22
35	Franco093	21
36	Skylord_Luke	20
36	Hisiste	20
38	lcvezra	19
39	Kubelz	18
39	audiocracked	18
39	Barlycorn	18
42	Apollo_993	17
42	MattieHD	17
42	BumbleBeever	17
42	lordpipe	17
46	eviltunix	16
47	H0UNDFRMH3LL	15
47	_Virify_	15
47	Smashic	15
47	ImDisconnected_	15
47	oscminus	15
47	luseis	15
53	PhantomsGhost_	14
53	SmashingPump	14
53	TheSecondLord	14
53	hcb238	14
53	Werbe	14
53	Akoot_	14
53	Iamthejo	14
60	Groovy_MoonBird	13
60	Frozil20	13
60	Notta	13
60	BobDeBouwer1337	13
60	bloodbiter	13
60	burbankbuilder28	13
60	PaperCanvas	13
67	Cowison	12
67	Merv__	12
67	Kakolbus	12
67	Rumpletaezer	12
67	Snowflowe	12
67	Corbsman	12
67	El_Jalapeno	12
67	RedcatVII	12
67	JayToe	12
76	rarrq	11
76	Comma__	11
76	boog4loo	11
76	Kamflame10	11
76	thescout7	11
76	surfinggiraffejp	11
76	Bumpy419	11
76	Moofyman	11
76	Vetral1	11
76	Kim_Jong_eel	11
76	Drewen24	11
76	NoChumpChange	11
76	fluddd	11
76	Warlord324	11
76	cytotoxaint	11
76	_Meow_Mix	11
76	SUN_DREAM	11
76	xzvu	11
76	Skippeh	11
76	Nicserso	11
76	PlasticOtari	11
97	RoskobiOne	10
97	Hyugo	10
97	BlancoFlaco	10
97	SaucyDark	10
97	ewsophie	10
97	Lez_	10
97	12Magner05	10
97	RefluxRatio	10
97	Azmodan_246	10
97	Deathkob	10
97	Razzgriz	10
97	BlankityMcBlank	10
97	ConnorDanky_	10
110	ActualPatbaf	9
110	Malorn_Aetherius	9
110	ProfessorBee	9
110	zorin123	9
110	500am	9
110	excelsionprime	9
110	Xalithia	9
110	XboxPanda	9
110	SuperStreetCat	9
110	CrateOfBoxes	9
110	EfficientC52	9
110	cog	9
110	monky_irl	9
110	SSytex_X	9
110	TheBananaKat	9
110	AltnumberF4	9
110	TechnoNinja64	9
110	JohnPrice	9
110	Kateesaur	9
129	Alexanderjac	8
129	lotarp	8
129	AlazelTheReal	8
129	Mahoose	8
129	DirtyDalle	8
129	SPUDonSTEROIDS	8
129	Stiar	8
129	mimbo1211	8
129	TheDankPlatypus	8
129	Lord_Jord	8
129	Meatlaugh	8
129	Karbl	8
129	Blu3beast	8
129	censorsheep	8
129	Spacewardharpy7	8
129	OG_Songsee	8
129	_TCARREIRA_	8
129	Legendosh	8
129	skrongus	8
148	k_ce	7
148	dudcreeper	7
148	6king6colt6	7
148	Kegradigm	7
148	ivorico	7
148	picardred	7
148	Mewar	7
148	Paintz	7
148	John6970	7
148	mariominejedi	7
148	Jackattack53	7
148	Gzrdy	7
148	Zythose	7
148	DanielMmm	7
148	IamCL4SSY	7
148	TheSeismicDuck	7
148	Tyrannosplart	7
148	The_slideV3	7
148	Deerfoot	7
148	OreoPenguin_	7
148	MightyWertu	7
148	tlustyCZARNY	7
148	Racengan	7
148	MovingFish7	7
148	ElKaySVK	7
148	radioactv_jelly	7
148	WyngGoy	7
148	ElectricDragon81	7
148	Jij0	7
148	Logain42	7
148	Nargotah	7
148	Njensen7	7
148	Hermanni__	7
148	diggydog67	7
182	soundad	6
182	Houstonion	6
182	bigstankyy	6
182	Ryker	6
182	beeperbeeper5	6
182	jacxhadow	6
182	kekhon	6
182	corvidpartyfor6	6
182	Lumien_	6
182	leaf26	6
182	slkiey	6
182	crying_wolf_13	6
182	SuperPooch06	6
182	dedgt	6
182	WET_WET_WET	6
182	AnnieBathory	6
182	Fast_Turtle	6
182	Skomo	6
182	MonitorLizards	6
182	FishyBoy3811	6
182	wezzzi	6
182	masskedman	6
182	Russiancat1	6
182	sufjanlover	6
182	balin55	6
182	Darkgon	6
182	drumine	6
182	GoofyBread	6
182	KermitTheKripple	6
182	Quincannon	6
182	claivin	6
182	Quaintster	6
182	markaus77	6
182	Lord_Doob	6
182	voiding_	6
182	djancak	6
182	Spenduh	6
182	obzii	6
182	striker90333	6
182	erkada	6
182	TheOnlyRake	6
182	WYFYoyo	6
224	Jovaphobic	5
224	NatalieTW	5
224	Paint	5
224	BigBootyHudge	5
224	TheMilkerOfCats	5
224	ImpavidArcher	5
224	Hpdinosaur	5
224	tuckerdoodle	5
224	MoistMicrowave	5
224	Jackster03	5
224	Vizzoid	5
224	Stynxy	5
224	Valoth	5
224	TinMaster	5
224	lunathelemon	5
224	ThePoliteG	5
224	Tiberonus	5
224	_Nuf	5
224	MindyDooWho	5
224	himak1	5
224	r123moore	5
224	RIPB0ZO	5
224	CharlieButt	5
224	SeverianOfUrth	5
224	Karetoko	5
224	whoaluv	5
224	_8man	5
224	RyuNeko932000	5
224	pappaberg	5
224	Chrisdeadeye	5
224	Kouridragon	5
224	XeroByMyth	5
224	Dan_Scha	5
224	NomadicRobin_	5
224	Jiminbub	5
224	fkGrim	5
224	godipose	5
224	DarkS0L	5
224	JESS_THE_RERE	5
224	1442	5
224	cringenaynaybaby	5
224	Groundler	5
224	Typadopoulos	5
224	Vorlice	5
224	Airem_Core	5
224	Cocoamallows	5
224	stavgod	5
224	Chuglyfe	5
224	HAruSAme14	5
224	krutas2000	5
224	LeeMcGee30	5
224	Rainaldus	5
224	icim	5
224	Enderxz3	5
224	xolstoi	5
224	trexgb	5
224	Tristankill	5
281	MunkaKris	4
281	seanitoo	4
281	Froste131	4
281	SyK7	4
281	Jorrdi	4
281	jspwn	4
281	KingFaenor	4
281	powercas_gamer	4
281	I_Am_Mushkin	4
281	KarlKaek	4
281	ssleepless	4
281	TooManyDuck	4
281	Wooptey	4
281	Seyaboy	4
281	CoffeeNoir	4
281	Prismyst	4
281	mennorovers	4
281	gaziter10	4
281	QuiCreans	4
281	TheFlfthHorseman	4
