rank	username	minecraft:crafted/minecraft:cherry_fence_gate
1	Lez_	54
2	Kowcio_	8
3	Enderxz3	3
4	Merv__	2
4	Reneedium	2
4	StarCookiees_	2
4	pixelviolin	2
