rank	username	minecraft:crafted/minecraft:bamboo_sign
1	Werbe	192
2	Buuck_	177
3	_witch_craft_	96
4	Yamdalorian	75
5	Hoid_the_Roamer	60
6	lpinfinity	42
7	Bambuino	39
7	robonya_	39
9	U_Mos_	36
10	Synthoum	33
11	Mr_Byzantine	30
12	pintsizedrogue	27
13	Enderxz3	9
14	Merv__	6
14	Mr_Sun15	6
16	Napoleonpancake	3
16	TheSecondLord	3
16	pixelviolin	3
16	Kowcio_	3
16	Jimb0nat0r	3
16	LuvLuvLove	3
