rank	username	minecraft:crafted/minecraft:name_tag
1	pintsizedrogue	5962
2	PigDab	523
3	HellsSponge	362
4	Hyp3rion_	264
5	beeperbeeper5	204
6	joethahobo	192
7	noam464	167
8	Historical_Sand	163
9	TechnoNinja64	156
10	Di_infiri	114
11	Inbefour	99
12	500am	95
13	oxfordschool	77
14	fw3xywashere	76
15	pixelviolin	72
16	eitanzaki	67
17	bloodbiter	53
18	Werbe	51
19	Mahoose	46
20	xxPipperDipperxx	44
21	Smoke____	42
22	ProfessorBee	35
23	Spacewardharpy7	34
24	Soplight	30
25	Quotary	28
26	thescout7	27
27	BumbleBeever	25
28	12Magner05	24
28	thewindmillman	24
28	Spenduh	24
31	Merv__	23
31	KingMatthew506	23
33	jnp_gaming	21
34	IAmTheWalrus910	19
35	PhantomsGhost_	18
36	Blaiku	17
37	chipklip	15
38	Arceus1975	14
39	Jiminie	13
40	kekhon	12
40	Jackattack53	12
40	ZeroKraken	12
40	PlasticOtari	12
44	Snowflowe	11
45	CoffeeNoir	10
45	TheSecondLord	10
45	DanTheBuilderino	10
45	PortlyPete69	10
49	mariominejedi	8
49	Sky_light_KING	8
49	Freak_Genius	8
49	EfficientC52	8
49	Legendosh	8
54	Cowison	7
54	Maenara	7
54	SkateboardR6	7
54	Segotep999	7
58	Drlzyy	6
58	ShedJr_	6
58	MattieHD	6
58	Akoot_	6
58	Lord_Jord	6
58	Hermanni__	6
58	RadarHz	6
65	RebelAndroid	5
65	m_be9	5
65	G1ldor	5
65	Fullut	5
65	MangoTheFish	5
65	EveryonesUncle	5
65	DarlaMeow	5
65	Eczbek	5
73	KlausVonStiglitz	4
73	fluddd	4
73	Enderslayerxz3	4
76	_NieToksikpl_	3
76	AuroraValkyrie	3
76	T045RTY	3
76	titanlax	3
76	Inchef	3
76	John6970	3
76	Gryglu583	3
76	Quaintster	3
76	Frozil12	3
76	MightyWertu	3
76	lordpipe	3
76	stahouo	3
76	LeeMcGee30	3
76	FelixPSY375	3
76	Zoeyfortnite	3
91	Sleek_Storm_721	2
91	Ryker	2
91	KomputerDude	2
91	Blackberry1310	2
91	mwrty	2
91	gcaisawesome	2
91	claivin	2
91	GravitySaint	2
91	ItzWqlfy	2
91	Eraxa	2
91	fffMike	2
91	Kubeusz2010	2
103	Flapjacker687	1
103	emrekn	1
103	PegLegPete93	1
103	ImDisconnected_	1
103	SlayerCrypto	1
103	Fast_Turtle	1
103	ApophisNova	1
103	NNikitas	1
103	xo_Marren_xo	1
103	sammidk	1
103	thgrocks	1
103	Blamphe	1
103	Karbl	1
103	Hisiste	1
103	MakeHistory157	1
103	starbits140	1
103	Dogcorn69420	1
103	Steelynan	1
103	Dr0xzy	1
103	EcksD	1
103	MyNamaSheff	1
103	Lowjinx	1
