rank	username	minecraft:crafted/minecraft:redstone_torch
1	Hyp3rion_	100505
2	noam464	84905
3	thewindmillman	20818
4	Di_infiri	17288
5	Spacewardharpy7	16826
6	Lez_	16700
7	Jackattack53	11989
8	Blaiku	10000
9	Awyrlas	7235
10	eitanzaki	6557
11	HellsSponge	6504
12	AdmiralSmoke	4628
13	beeperbeeper5	4438
14	TheShyPig	4244
15	Nicserso	4058
16	Frozil20	3723
17	catandmoose	3689
18	Eczbek	3603
19	PigDab	3295
20	Shogunite	2944
21	Elastiq	2794
22	thescout7	2327
23	Kakolbus	2301
24	joethahobo	2284
25	m_be9	2166
26	Werbe	1831
27	YungMaki	1781
28	WyngGoy	1745
29	T045RTY	1741
30	Inbefour	1701
31	Hoid_the_Roamer	1674
32	ImpavidArcher	1657
33	_Nuf	1656
34	EcksD	1588
35	ProfessorBee	1578
36	Akoot_	1547
37	mihimihimihi	1539
38	pintsizedrogue	1388
39	mwrty	1374
40	Soplight	1309
41	ConnorDanky_	1302
42	Xclax101	1293
43	PlasticOtari	1284
44	Groundler	1274
45	Alteriity	1123
46	12Magner05	1110
47	lordpipe	1064
48	Marbz_	1059
49	Zythose	1046
50	skrongus	1035
51	Historical_Sand	1012
52	Enderxz3	1006
53	Hisiste	964
54	PhantomsGhost_	914
54	fffMike	914
56	El_Jalapeno	888
57	07shiny	884
58	r123moore	882
59	Factoroni	855
60	ssleepless	815
61	Bumpy419	795
62	EngagedGrub41	790
63	Eczbox	778
64	AuroraValkyrie	774
65	sp00ky_ghost977	751
66	Fuad_R	731
67	Merv__	683
68	FreakGenius	671
69	StinkyDiplomat	667
70	TechnoNinja64	658
71	MyNameIsJobo	657
72	Manaateee	651
73	Skylord_Luke	644
74	Huwulling	620
75	Cowison	618
76	Jimi7hits	600
77	Mewar	587
78	gcaisawesome	584
79	Franco093	577
79	vandmanden	577
81	Kowcio_	564
82	TheSeismicDuck	554
82	Barlycorn	554
84	Apollo_993	552
85	eiC_	544
86	obzii	542
87	Cocoamallows	540
88	Ezekson	525
89	Steelynan	523
90	EMC_	520
91	Snowflowe	516
92	pixelviolin	507
93	MilleGrug	502
94	Hermanni__	499
95	domagawha	497
96	BartekB19	489
97	500am	487
98	tuckerdoodle	479
99	GravitySaint	473
100	MattieHD	472
101	fluddd	471
102	jnp_gaming	469
103	Darkgon	462
104	Dogcorn69420	448
105	Lord_Jord	445
105	AstreaTSS	445
107	Fullut	444
108	Winston_Ingram	434
109	Onennon	431
110	Covalents	422
111	non089	420
112	Blu3beast	410
113	Arceus1975	406
114	MightyWertu	402
115	Iagoku	390
116	xxPipperDipperxx	386
117	Legendosh	371
118	kekhon	370
118	Rumpletaezer	370
118	DanTheBuilderino	370
121	_Karmaa	368
122	BronkerBrum	360
123	Vorlice	356
124	ApophisNova	354
124	MyNamaSheff	354
126	TheThomas69	350
127	RebelAndroid	340
127	Skippeh	340
129	Comma__	336
130	andy_rex	332
131	tobinwilliams	328
132	GoofyBread	320
133	xolstoi	315
134	kyouma777	298
135	picardred	296
135	NameGenerat0r	296
137	jessewegottacook	291
138	benediktine1	290
139	DTwenty	289
140	Kyrum2169	288
141	bigstankyy	278
142	Eraxa	274
143	Deathkob	272
144	Smashic	269
144	Hiryu27	269
146	Racengan	256
147	silverpopcorn	253
148	j5ylim	250
149	lorpus	249
150	Quotary	245
151	diamondgolem35	243
152	MoistMicrowave	242
153	Swexti	235
154	SteveCraftBlocks	232
155	__tomato	231
156	Blackberry1310	228
157	MAns_44	224
157	Jimb0nat0r	224
159	Mahoose	223
159	cedric72	223
161	Ssor69	222
162	ExtraDumb	220
163	IAmTheWalrus910	217
164	Stynxy	216
164	groofles	216
166	CrateOfBoxes	212
166	Warlord324	212
168	rarrq	210
168	SSytex_X	210
170	lizardfightclub	208
170	_Bguette_	208
170	Dreamdbr14	208
173	Lutres_	201
173	alderban107	201
175	BlueZabu	200
176	The_slideV3	193
177	corvidpartyfor6	188
177	Paintz	188
179	yheece	183
180	Solar_Power	182
180	NoChumpChange	182
182	Quincannon	180
183	Spenduh	178
184	q_wq	174
184	Fildyr	174
186	oscminus	171
187	eviltunix	170
188	_Virify_	169
189	prizm_	166
190	audiocracked	164
191	Ev0luti0nz	158
192	StarCookiees_	157
193	Typadopoulos	156
193	Zoeyfortnite	156
195	Scathra	154
196	Bandito_Roamer	153
196	lcvezra	153
198	NatalieTW	151
199	RoskobiOne	150
200	FreddyFart	148
200	BlankityMcBlank	148
202	RIPB0ZO	147
203	h2p_emrld	142
204	SlayerCrypto	141
204	Skomo	141
206	masskedman	139
207	yatsuta	138
208	ayamefag	136
209	mariominejedi	133
209	Chromary	133
209	censorsheep	133
212	The_Cruncy	132
212	HesDemonPants	132
214	Jij0	131
215	Wanjibon	128
216	TheTrueClipse	127
217	slkiey	123
218	Rich_Kat	122
218	Leyna3	122
218	EveryonesUncle	122
221	ibarker21	120
222	_8man	117
223	Mattesco	116
224	ivorico	115
224	Sheldor097	115
226	PortlyPete69	114
226	anbbang	114
228	Ryan_GEMS	113
228	Druid95	113
230	M_Patata	109
230	The11thDoctor	109
232	MasterNueve	108
233	ougstur	106
233	HolyVenom	106
233	Syropatathe	106
236	Jovaphobic	105
237	RobotMinion101	104
238	FirsTimeGamingTV	103
239	NieToksikpl	101
239	jacxhadow	101
241	UCP_TheKingK	100
242	wwwwinnebagoooo	99
243	PazinGaming	98
244	SvenskaHugo	97
245	NotMeanttoChange	94
246	bloodbiter	93
247	MinttyFressh	92
247	ROY4LE	92
247	SellyZ	92
247	stavgod	92
251	Rasmanden	91
252	JESS_THE_RERE	90
253	chimpmunker	88
254	IamCL4SSY	87
254	claivin	87
254	tartanboy	87
257	kalzor	86
258	Njensen7	85
259	Kijiki	84
260	Moofyman	83
261	ActualPatbaf	82
261	Kouridragon	82
263	Touched_Bread	80
263	burbankbuilder28	80
263	_TCARREIRA_	80
263	Rainaldus	80
267	Malorn_Aetherius	76
267	_Mythic____	76
269	Quaintster	75
270	CollinMH06	74
270	Nyxiom_	74
272	emrekn	73
272	legal_tax_evader	73
272	tsitrawhy	73
275	Zedducius	72
276	Crowvens	71
277	SaucyDark	70
277	Ryker	70
277	Prismyst	70
277	parodypatient	70
281	Tobinator_007	68
281	Trever101	68
281	Soap_Bender	68
284	Jackster03	67
284	mattybeewrapss	67
284	Jordan_R	67
287	ooga47	65
287	NATE_the_HALO	65
287	Sral7	65
290	Hanselhoof	64
290	ImDisconnected_	64
290	LilyNova	64
290	aymonkey	64
290	ItsDeltaMC	64
290	ZeroKraken	64
290	00000000-0000-0000-0009-01ff0c3e5e4f	64
297	abramgray	63
297	set67	63
297	wezzzi	63
297	SexcMf	63
